"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"/2016/09/The Arts F-10","The Arts F-10",,1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,03c86a58-37db-451d-bd48-8db4bf2f7765,Drama,"<br/>Education Level: 10<br/>Subject: A200",1,,,,0,null,,10885,,
5d017928-655b-4413-af69-f6bae534adc7,05ce1607-f97c-4b7d-8e5c-2dd524b78cff,"Years 3 and 4","In Years 3 and 4, learning in The Arts builds on the experience of the previous band. It involves students making and responding to artworks independently and collaboratively with their classmates and teachers.
As they experience The Arts, students draw on artworks from a range of cultures, times and locations. They explore the arts of Aboriginal and Torres Strait Islander Peoples and of the Asia region and learn that they are used for different purposes. While the arts in the local community should be the initial focus for learning, students are also aware of and interested in the arts from more distant locations and the curriculum provides opportunities to build on this curiosity.
As they make and respond to artworks, students explore meaning and interpretation, elements and forms, and social and cultural contexts of the arts. They make personal evaluations of their own and others&rsquo; artworks, making connections between their own artistic intentions and those of other artists.
Students continue to learn about safe practices in the arts and in their interactions with other artists. Their understanding of the role of the artist and the audience builds on their experience from the previous band. As an audience, students focus their attention on the artwork and respond to it. They consider why and how audiences respond to artworks.
In Years 3 and 4, students&rsquo; awareness of themselves and others as audiences is extended beyond the classroom to the broader school context.
In Media Arts, students:

extend their understanding of structure, intent, character and settings
use composition, sound and technologies
consider themselves as audiences and explore other audience groups
explore institutions (individuals, communities and organisations) to understand purpose and process when producing media artworks
explore meaning and interpretation, and forms and elements including structure, intent, character, settings, composition, time, space and sound as they make and respond to media artworks
discuss the ethical behaviour of individuals when producing media artworks for a variety of audiences
recognise appropriate and inappropriate use of other people&rsquo;s images and work in the making of media artworks.<br/>Education Level: 4<br/>Subject: A300",1,,,,0,null,,11088,,
7928e81b-50bf-411f-bc24-eb1e4db14ee7,090d7e5f-1bc3-4ed8-80e6-9133020c4f66,"Years 9 and 10","In Visual Arts, students:

build on their awareness of how and why artists, craftspeople and designers realise their ideas through different visual representations, practices, processes and viewpoints
refine their personal aesthetic through working and responding perceptively and conceptually as an artist, craftsperson, designer or audience
identify and explain, using appropriate visual language, how artists and audiences interpret artworks through explorations of different viewpoints
research and analyse the characteristics, qualities, properties and constraints of materials, technologies and processes across a range of forms, styles, practices and viewpoints
adapt, manipulate, deconstruct and reinvent techniques, styles and processes to make visual artworks that are cross-media or cross-form
draw on artworks from a range of cultures, times and locations as they experience visual arts
explore the influences of Aboriginal and Torres Strait Islander Peoples and those of the Asia region
learn that Aboriginal and Torres Strait Islander people have converted oral records to other technologies
reflect on the development of different traditional and contemporary styles and how artists can be identified through the style of their artworks as they explore different forms in visual arts
identify the social relationships that have developed between Aboriginal and Torres Strait Islander people and other cultures in Australia, and explore how these are reflected in developments of forms and styles in visual arts
use historical and conceptual explanations to critically reflect on the contribution of visual arts practitioners as they make and respond to visual artworks
adapt ideas, representations and practices from selected artists and use them to inform their own personal aesthetic when producing a series of artworks that are conceptually linked, and present their series to an audience
extend their understanding of safe visual arts practices and choose to use sustainable materials, techniques and technologies
build on their experience from the previous band to develop their understanding of the roles of artists and audiences.<br/>Education Level: 10<br/>Subject: A500",1,,,,0,null,,11550,,
b2d74b0d-d772-4814-92fc-0b40a5c2922f,0f0208e8-b94f-4bef-b940-6d028b551745,"Foundation to Year 2 Achievement Standard","By the end of Year 2, students describe the effect of the elements in dance they make, perform and view and where and why people dance.
Students use the elements of dance to make and perform dance sequences that demonstrate fundamental movement skills to represent ideas. Students demonstrate safe practice.<br/>Education Level: 2<br/>Subject: A100",1,,,,0,null,,10730,,
7928e81b-50bf-411f-bc24-eb1e4db14ee7,17e84214-1ecd-497b-95c8-7966be4d0653,"Foundation to Year 2","In Foundation to Year 2, learning in The Arts builds on the Early Years Learning Framework. Students are engaged through purposeful and creative play in structured activities, fostering a strong sense of wellbeing and developing their connection with and contribution to the world.
In the Foundation Year, students undertake The Arts appropriate for their level of development.
They explore the arts and learn how artworks can represent the world and that they can make artworks to represent their ideas about the world. They share their artworks with peers and experience being an audience to respond to others&rsquo; art making.
As they experience the arts, students draw on artworks from a range of cultures, times and locations. They explore the arts of Aboriginal and Torres Strait Islander Peoples and of the Asia region and learn that they are used for different purposes. While the arts in the local community should be the initial focus for learning, students are also aware of and interested in the arts from more distant locations and the curriculum provides opportunities to build on this curiosity.
As they make and respond to artworks, students explore meaning and interpretation, forms and processes, and social and cultural contexts of the arts. They make early evaluations of artworks expressing what they like and why.
Students learn about safe practices in the arts through making and responding safely in the different arts subjects.
They experience the role of artist and they respond to feedback in their art making. As an audience, they learn to focus their attention on artworks presented and to respond to artworks appropriately. In Foundation to Year 2, students learn to be an audience for different arts experiences within the classroom.
In Visual Arts, students:

become aware of visual conventions and learn to notice visual detail
explore how and why artworks are created and ways to use and apply visual conventions, such as line, shape, colour and texture
learn how their ideas or subject matter can be developed through different forms, styles, techniques, materials and technologies
learn about how and why artists, craftspeople and designers present their ideas through different visual representations, practices, processes and viewpoints.<br/>Education Level: 2<br/>Subject: A500",1,,,,0,null,,11418,,
5d017928-655b-4413-af69-f6bae534adc7,21387e51-927c-42fe-8299-24e1d62f2bdc,"Years 7 and 8","In Media Arts, students:

build on their understanding of structure, intent, character, settings, points of view and genre conventions and explore media conventions in their media artworks
build on their understanding and use of time, space, sound, movement, lighting and technologies
examine the ways in which audiences make meaning and how different audiences engage with and share media artworks
draw on media arts from a range of cultures, times and locations as they experience media arts
explore the media arts and influences of Aboriginal and Torres Strait Islander Peoples and of the Asia region
learn that Aboriginal and Torres Strait Islander people have converted oral records to other technologies
explore social and cultural values and beliefs of Aboriginal and Torres Strait Islander Peoples as represented in media artworks and consider how these may influence the media artworks they make
learn that over time there has been further development of different traditional and contemporary styles as they explore media forms
explore meaning and interpretation, forms and elements including structure, intent, character, settings, points of view, genre conventions and media conventions as they make and respond to media artworks
consider social, cultural and historical influences and representations in media arts
evaluate how established behaviours or conventions influence media artworks they engage with and make
maintain safety in use of technologies and in interaction with others, including the use of images and works of others
develop ethical practices and consider regulatory issues when using technology
build on their understanding from previous bands of the roles of artists and audiences as they engage with more diverse media artworks.<br/>Education Level: 8<br/>Subject: A300",1,,,,0,null,,11141,,
03c86a58-37db-451d-bd48-8db4bf2f7765,2257e977-c378-4ed4-a435-3517bdc63b5a,"Years 5 and 6","In Years 5 and 6, students draw on artworks from a range of cultures, times and locations. They explore the arts of Aboriginal and Torres Strait Islander Peoples and of the Asia region and learn that they are used for different purposes. While the arts in the local community should be the initial focus for learning, students are also aware of and interested in the arts from more distant locations and the curriculum provides opportunities to build on this curiosity.&nbsp;
As they make and respond to the arts, students explore meaning and interpretation, and social and cultural contexts of the arts. They evaluate the use of forms and elements in artworks they make and observe.
Students extend their understanding of safety in the arts. In Years 5 and 6, their understanding of the roles of artists and audiences builds on previous bands. They develop their understanding and use of performance or technical skills to communicate intention for different audiences. They identify a variety of audiences for different arts experiences as they engage with more diverse artworks as artists and audiences.
In Drama, students:

develop understanding of character through voice and movement and extend their understanding and use of situation, focus, tension, space and time
extend their understanding and use language and ideas to create dramatic action and consider mood and atmosphere in performance
use conventions of story and other devices such as dramatic symbol to communicate meaning and shape and sustain drama for audiences
explore meaning and interpretation, forms and elements including voice, movement, situation, space and time, and tension as they make and respond to drama.<br/>Education Level: 6<br/>Subject: A200",1,,,,0,null,,10944,,
3b0fd83f-7a84-49e6-ae68-f196fbe46794,2835768f-93db-4a3c-993e-bb0309ae64ae,"In this band students develop their knowledge of how ideas and intentions are...","In this band students develop their knowledge of how ideas and intentions are communicated in and through drama. They build on and refine their knowledge, understanding and skills through drama practices focusing on:
Elements of drama
Role, character and relationships

Role and character - for example, maintaining commitment to role; exploring motivations and various facets of multidimensional characters; developing and analysing multidimensional relationships in the drama
Situation - for example, improvising with/adapting available materials and technologies to establish setting; using conventions of story in drama

Voice and movement

for example, sustaining belief in character and situation through voice and movement; revealing character and situation through the use of voice, movement/blocking and props
Focus - for example, using a range of devices and effects to highlight specific aspects of the performance for the audience
Tension - for example, using foreshadowing and information withholding to create suspense and emphasis
Space and time - for example, using rhythm and pace to enhance drama; using blocking (for example, when and where to move) and stage areas (such as upstage right, downstage centre) in planning and performance

Language, ideas and dramatic action

for example, manipulating central ideas or themes to give perspectives and ideas to the audience
Mood and atmosphere - the feeling or tone of physical space and the dramatic action created by or emerging from the performance

Audience

using narrative and non-narrative dramatic forms and production elements to shape and sustain drama for formal and informal audiences.<br/>Education Level: 8<br/>Subject: A200",1,,,,0,null,,11016,,
21387e51-927c-42fe-8299-24e1d62f2bdc,2860e26e-83cb-45aa-86d3-e2755e469a54,"Years 7 and 8 Achievement Standard","By the end of Year 8, students identify and analyse how representations of social values and points of view are portrayed in the media artworks they make, distribute and view. They evaluate how they and other makers and users of media artworks from different cultures, times and places use genre and media conventions and technical and symbolic elements to make meaning. They identify and analyse the social and ethical responsibility of the makers and users of media artworks.
Students produce representations of social values and points of view in media artworks for particular audiences and contexts. They use genre and media conventions and shape technical and symbolic elements for specific purposes and meaning. They collaborate with others in design and production processes, and control equipment and technologies to achieve their intentions.<br/>Education Level: 8<br/>Subject: A300",1,,,,0,null,,11187,,
