Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,ISCED-F 2013,International Standard Classification of Education: Fields of Education and Training 2013,"<p></p><p><b>ISCED</b> is the reference international classification for 
organising education programmes and related qualifications by levels and
 fields. <b>ISCED Fields of Education and Training 2013</b> - is a classification
 of fields of education, which accompanies ISCED 2011 (levels of education). It will be 
implemented in EU data collections from 2016.
ISCED-F 2013 contains 11 broad fields (2 digits), 29 narrow fields (3 
digits) and about 80 detailed fields (4 digits). See http://ec.europa.eu/eurostat/statistics-explained/index.php/International_Standard_Classification_of_Education_(ISCED) for more information.<br /></p><br />",1,"Missing,Incomplete,Unacceptable,Acceptable,Good,Excellent","[{""scaleid"":""731""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":4,""scaledefault"":0,""proficient"":1},{""id"":5,""scaledefault"":0,""proficient"":1},{""id"":6,""scaledefault"":0,""proficient"":1}]",,,,,,1,"domain,domain,domain,competency"
,ISCED-F 00,00 Generic programmes and qualifications,"<p></p><div>Generic programmes and qualifications are those providing fundamental and personal skills education  which  cover  a  broad  range  of  subjects  and do  not  emphasise  or  specialise  in  a particular broad or narrow field.<br /><br />This broad field should not be used as a residual category. Programmes and qualifications with a specific</div><div>subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here. </div><br />",1,,,,0,null,,2,,
ISCED-F 00,ISCED-F 000,000 Generic programmes and qualifications not further defined ,,,,,,,,,,,
ISCED-F 000,ISCED-F 0000,0000 Generic programmes and qualifications not further defined ,,,,,,,,,,,
ISCED-F 00,ISCED-F 001,001 Basic programmes and qualifications,,1,,,,0,null,,3,,
ISCED-F 001,ISCED-F 0011,0011 Basic programmes and qualifications,"<p></p><div>Basic   programmes   and   qualifications are   designed   to   provide   participants   with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities,  social  science,  natural  science  etc.  Vocational  programmes  and  qualifications </div><div>are included here only by way of exception.<br /><br />Programmes and qualifications with the following main subject content are classified here: </div><div><br /><ul><li>Basic programmes and qualifications </li><li>Broad, generic (non-specialised) programmes and qualifications </li><li>General programmes and qualifications with no specific subject emphasis </li><li>Programmes and qualifications at primary level </li></ul></div><div><i>Inclusions:</i> <br />Basic  programmes  and  qualifications at  upper  secondary  level  (in  some  countries  at  lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but  still  covering  other  fields  of  knowledge  are  included  in  this  detailed  field.  In  some countries such programmes or qualifications are offered on a modular basis and should also be classified here. </div><div><br /><i>Exclusions:  </i></div><div>Programmes  that  are  considered  as  general  in  the  programme  orientation  sense  (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this  detailed  field  and  included  in  one  of  the  broad  fields  01-10,  depending  on  the  subject covered. </div><br />",1,,,,0,null,,4,,
ISCED-F 00,ISCED-F 002,002 Literacy and numeracy,,1,,,,0,null,,5,,
ISCED-F 002,ISCED-F 0021,0021 Literacy and numeracy,"<p></p><div><b>Literacy  and  numeracy</b> are  programmes  or  qualifications  arranged  mainly  for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of  participants  can  be  used  to  distinguish  between detailed  field  0011  ‘Basic  programmes and qualifications’ and this detailed field.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Basic remedial programmes for youth or adults </li><li>Literacy </li><li>Numeracy </li></ul><p><br /></p>",1,,,,0,null,,6,,
ISCED-F 00,ISCED-F 003,003 Personal skills,,1,,,,0,null,,7,,
ISCED-F 003,ISCED-F 0031,0031 Personal skills,"<p></p><div><b>Personal skills</b> are defined by reference to the effects on the individual’s capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 ‘Basic programmes  and  qualifications’  or  0021  ‘Literacy  and  numeracy’,  giving  key  competencies and transferable skills.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Argumentation and presentation  </li><li>Assertiveness training </li><li>Communication skills </li><li>Co-operation </li><li>Development of behavioural capacities </li><li>Development of mental skills </li><li>Job-seeking programmes </li><li>Parenting courses </li><li>Public speaking </li><li>Self-esteem skills </li><li>Social competence </li><li>Time management</li></ul><p></p><div><i>Inclusions:  </i></div><div>Education and training in <i>leadership</i> in the context of <i>personal development</i> is included here. </div><div><br />Education  and  training  related  to  the <i>work  place</i> or  to <i>work assignments</i> is  included  in  this detailed  field  if  it  has  more  to  do  with  personal  development  than  work  development. Personal skills courses can be taught at the workplace, but still be classified here based on their content. </div><div><br />Programmes for people with special needs on how to <i>cope with their daily life</i> are included here. </div><br /><div><i>Exclusions:  </i></div><div>Study of leadership in the context of management is excluded from this group and included in detailed field 0413 ‘Management and administration’. </div><br />",1,,,,0,null,,8,,
ISCED-F 00,ISCED-F 009,009 Generic programmes and qualifications not elsewhere classified ,,,,,,,,,,,
ISCED-F 009,ISCED-F 0099,0099 Generic programmes and qualifications not elsewhere classified ,,,,,,,,,,,
,ISCED-F 01,01 Education,,1,,,,0,null,,1,,
ISCED-F 01,ISCED-F 011,011 Education,,1,,,,0,null,,9,,
ISCED-F 011,ISCED-F 0110,0110 Education not further defined,,,,,,,,,,,
ISCED-F 011,ISCED-F 0111,0111 Education science,"<p></p><div><b>Education  science</b> is  the  study  of  the  learning  process  and  the  theories,  methods  and techniques of imparting knowledge to others.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Curriculum studies </li><li>Didactics </li><li>Educational assessment, testing and measurement </li><li>Educational evaluation and research Paedagogical sciences</li></ul><p></p><div><i>Exclusions:  </i></div><div>Teacher training programmes which combine education science with the practice of teaching are  excluded  from  this  detailed  field  and  included in  one  of  the  detailed  fields  for  teacher training (0112-0114). </div><br />",1,,,,0,null,,10,,
ISCED-F 011,ISCED-F 0112,0112 Training for pre-school teachers,"<p></p><div><b>Training  for  pre-school  teachers</b> is  the  study  of  the  theories,  methods  and  practice of teaching  very  young  children  up  to  7  years  of  age  within  formal  school  settings  at  pre-primary or early childhood educational development levels.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Early childhood teaching (within formal school settings) </li><li>Pre-primary teacher training</li></ul><p></p><div><i>Exclusions:  </i></div><div>Training  in  caring  for  children  outside  formal  school  settings  is  excluded  from  this  detailed field and included in detailed field 0922 “Child care and youth services.” </div><br />",1,,,,0,null,,11,,
ISCED-F 011,ISCED-F 0113,0113 Teacher training without subject specialisation ,"<p></p><div><b>Training for teachers without subject specialisation</b> is the study of the theories, methods and  practice  of  providing  children  between  approximately  5  and  15  years  of  age  with  the fundamental   skills   in   reading,   writing   and   mathematics   along   with   an   elementary understanding  of  other  subjects  such  as  history,  geography,  social  science  etc  and  laying the  foundation  for  lifelong  learning.  Subject  specialisation  is  stressed  less  than  in  detailed field 0114 ‘Teacher training with subject specialisation’. The study of teaching children with special  needs  is  included  in  this  detailed  field,  likewise  the  study  of  teaching  adults fundamental reading and writing skills and teaching immigrants these types of skills in their home or first language.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Class teacher training </li><li>Indigenous teacher training </li><li>Primary teaching Teacher training for children with special needs</li></ul><p></p><div><i>Inclusions: </i></div><div>The  study  of <i>teaching  adults  basic  literacy  and numeracy skills</i>  is  included  here. <i>Teacher’s aide (teaching assistant)</i> is also included here. </div><p></p><div><i>Exclusions: </i></div><div>Teacher  training  with  subject  specialisation even  if  intended  for  the  teaching  of  children  in primary  or  lower  secondary  education  is  excluded  from  this  detailed  field  and  included  in detailed field 0114 ‘Teacher training with subject specialisation’. </div><br />",1,,,,0,null,,12,,
ISCED-F 011,ISCED-F 0114,0114 Teacher training with subject specialisation,"<p></p><div><b>Teacher  training  with  subject  specialisation</b> is  the  study  of  the  theories,  methods  and practice  of  teaching  a  specific  subject,  mostly  at secondary  or  higher  levels  of  education. Programmes and qualifications included in this detailed field often comprise both studies as well as the subject/subjects that are going to be taught.<br /><br /></div><div>Programmes and qualifications with the following main content are classified here: </div><ul><li>Teacher training−arts and crafts  </li><li>Teacher training−commercial subjects  </li><li>Teacher training−music </li><li>Teacher training−nursing </li><li>Teacher training−physical training </li><li>Teacher training – second languages </li><li>Teacher training−specific theoretical subjects, e.g. English, mathematics, history </li><li>Teacher training−technical subjects </li><li>Teacher training – vocational subjects </li><li>Training of driving instructors </li><li>Training of trainers  </li></ul><p></p><div><i>Inclusions: </i></div><div>Teacher training  courses  for  university  teachers,  instructors  of  work  place  and  working  life skills and in practical and artistic subjects are included here.<br /><br /></div><div><i>Exclusions: </i></div><div>Training  of sports  trainers is  excluded  from  this  detailed  field  and  included in  detailed  field 1014 ‘Sports’. </div><br />",1,,,,0,null,,13,,
ISCED-F 011,ISCED-F 0119,0119 Education not elsewhere classified ,,,,,,,,,,,
ISCED-F 01,ISCED-F 018,018 Inter-disciplinary programmes and qualifications involving education,,1,,,,0,null,,14,,
ISCED-F 018,ISCED-F 0188,0188 Inter-disciplinary programmes and qualifications involving education,<p></p><div><i>Inter-disciplinary programmes and qualifications</i> to which the greatest intended learning time is devoted to education are classified here. </div><br />,1,,,,0,null,,15,,
,ISCED-F 02,02 Arts and Humanities,,1,,,,0,null,,16,,
ISCED-F 02,ISCED-F 020,020 Arts and humanities not further defined ,,,,,,,,,,,
ISCED-F 020,ISCED-F 0200,0200 Arts and humanities not further defined ,,,,,,,,,,,
