"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"/2016/09/Health and Physical Education F-10","Health and Physical Education F-10",,1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency,competency"
6078736e-6e90-4cb4-bf1a-da1b4ecb809e,0038c411-ebb7-4dc6-9f04-e6b021ac1c2b,"Being healthy, safe and active","Being healthy, safe and active<br/>Education Level: 2<br/>Subject: P",1,,,,0,null,8b7b926f-e620-4b97-9dac-f2e5cfa40c55,11739,,
bda2249a-7c2d-418e-a211-c573c7e729d1,029233d2-a9b8-4c7b-8811-00d17c03c3c8,"Being healthy, safe and active","Being healthy, safe and active<br/>Education Level: 6<br/>Subject: P",1,,,,0,null,8b7b926f-e620-4b97-9dac-f2e5cfa40c55,11941,,
,0423755a-505e-4600-a7ce-ce3c1f78fe40,"Lifelong physical activities","focuses on how participation in physical activity can enhance health-related fitness and wellbeing across the lifespan.
It is expected that all students at appropriate intervals across the continuum of learning from Year 3 to Year 10 will participate in the following:

individual and group fitness activities
active recreation activities.

Schools could also offer the following activities if they have access to specialised facilities and equipment and relevant teacher expertise:

swimming
tai chi, yoga, Pilates
bushwalking
recreational cycling
resistance training.<br/>Subject: P",1,,,,0,null,,11686,,
d2fc84db-d789-440b-bb0e-12320e669315,05c13985-d6e0-4abe-95ae-7c5621396ef8,"Learning through movement","Learning through movement<br/>Education Level: 8<br/>Subject: P",1,,,,0,null,9d024cd7-8c5a-4f51-870f-0cb034e305e7,11997,,
,085e83fa-2225-4def-88b4-11ffec2df2cc,"Games and sports","focuses on the development of movement skills, concepts and strategies through a variety of games and sports. This content builds on learning in active play and minor games and fundamental movement skills.&nbsp;Most games and sports can be classified into: invasion games, net and wall games, striking and fielding games and target games.
It is expected that all students at appropriate intervals across the continuum of learning from Year 3 to Year 10 will participate in the following:

modified games
traditional games or sports
culturally significant games and sports (such as traditional Indigenous games and games of significance from the Asia region)
non-traditional games and sports (including student-designed games).<br/>Subject: P",1,,,,0,null,,11684,,
,09538db5-f34c-40c2-9c88-de13fcc332ce,"Personal, Social and Community Health","Personal, Social and Community Health<br/>Education Level: 10<br/>Subject: P",1,,,,0,null,"aedf56fb-57a1-489b-bfd9-93f1bc912963,6078736e-6e90-4cb4-bf1a-da1b4ecb809e,0ae9c884-6e89-4734-873a-1f0d0977f33f,bda2249a-7c2d-418e-a211-c573c7e729d1,c124f639-68a2-44a2-8bf7-a77af31f9eeb,8d002c4c-2226-4b1f-9260-e480390b796a",11692,,
9242ee5a-461a-4f45-961c-15c7a4b89ff7,0ae9c884-6e89-4734-873a-1f0d0977f33f,"Personal, Social and Community Health","<br/>Education Level: 4<br/>Subject: P",1,,,,0,null,09538db5-f34c-40c2-9c88-de13fcc332ce,11838,,
c124f639-68a2-44a2-8bf7-a77af31f9eeb,1063a234-5bd8-4ec6-b23f-d4152bccd1e3,"Being healthy, safe and active","Being healthy, safe and active<br/>Education Level: 8<br/>Subject: P",1,,,,0,null,8b7b926f-e620-4b97-9dac-f2e5cfa40c55,12041,,
2a5be8e0-7af9-4494-8cfa-0e0629e0ba5e,118a84e3-29d4-431c-947d-a6c9c49f3cc4,"Learning through movement","Learning through movement<br/>Education Level: 4<br/>Subject: P",1,,,,0,null,9d024cd7-8c5a-4f51-870f-0cb034e305e7,11795,,
