"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,D2454348,"Next Generation Science Standards","The Next Generation Science Standards identify content and science and engineering practices that all students should learn from kindergarten to high school graduation. To reap the benefits of the science standards, states should adopt them in whole, without alteration. Adoption of the standards is only the first step toward improving educational opportunities for all students. For states that adopt the standards, they will need to be implemented in every classroom. As the standards will not define a curriculum, states and local districts will have the responsibility for providing more detailed guidance to classroom teachers, and will have room to fill in specific content to help students learn the key ideas in the standards.<br/>Subject: science",1,"Not yet competent,Competent","[{""scaleid"":""18""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,1-ESS1,1-ESS1,"Earth's Place in the Universe<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6418,,
S2454410,1-ESS1-1,1-ESS1-1,"Use observations of the sun, moon, and stars to describe patterns that can be predicted.<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6420,,
S2454410,1-ESS1-2,1-ESS1-2,"Make observations at different times of year to relate the amount of daylight to the time of year.<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6421,,
,1-LS1,1-LS1,"From Molecules to Organisms: Structures and Processes<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6422,,
S2454401,1-LS1-1,1-LS1-1,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs.<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6424,,
S2454401,1-LS1-2,1-LS1-2,"Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6425,,
,1-LS3,1-LS3,"Heredity: Inheritance and Variation of Traits<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6426,,
S2454406,1-LS3-1,1-LS3-1,"Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents.<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6428,,
,1-PS4,1-PS4,"Waves and their Applications in Technologies for Information Transfer<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6429,,
S2454398,1-PS4-1,1-PS4-1,"Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate.<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6431,,
S2454398,1-PS4-2,1-PS4-2,"Make observations to construct an evidence-based account that objects can be seen only when illuminated.<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6432,,
S2454398,1-PS4-3,1-PS4-3,"Plan and conduct an investigation to determine the effect of placing objects made with different materials in the path of a beam of light.<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6433,,
S2454398,1-PS4-4,1-PS4-4,"Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.<br/>Education Level: 1<br/>Subject: science",1,,,,0,null,,6434,,
,2-ESS1,2-ESS1,"Earth's Place in the Universe<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6435,,
S2454436,2-ESS1-1,2-ESS1-1,"Use information from several sources to provide evidence that Earth events can occur quickly or slowly.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6437,,
,2-ESS2,2-ESS2,"Earth's Systems<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6438,,
S2454442,2-ESS2-1,2-ESS2-1,"Compare multiple solutions designed to slow or prevent wind or water from changing the shape of the land.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6440,,
S2454442,2-ESS2-2,2-ESS2-2,"Develop a model to represent the shapes and kinds of land and bodies of water in an area.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6441,,
S2454442,2-ESS2-3,2-ESS2-3,"Obtain information to identify where water is found on Earth and that it can be solid or liquid.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6442,,
,2-LS2,2-LS2,"Ecosystems: Interactions, Energy, and Dynamics<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6443,,
S2454419,2-LS2-1,2-LS2-1,"Plan and conduct an investigation to determine if plants need sunlight and water to grow.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6445,,
S2454419,2-LS2-2,2-LS2-2,"Develop a simple model that mimics the function of an animal in dispersing seeds or pollinating plants.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6446,,
,2-LS4,2-LS4,"Biological Evolution: Unity and Diversity<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6447,,
S2454429,2-LS4-1,2-LS4-1,"Make observations of plants and animals to compare the diversity of life in different habitats.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6449,,
,2-PS1,2-PS1,"Matter and its Interactions<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6450,,
S2454415,2-PS1-1,2-PS1-1,"Plan and conduct an investigation to describe and classify different kinds of materials by their observable properties.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6452,,
S2454415,2-PS1-2,2-PS1-2,"Analyze data obtained from testing different materials to determine which materials have the properties that are best suited for an intended purpose.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6453,,
S2454415,2-PS1-3,2-PS1-3,"Make observations to construct an evidence-based account of how an object made of a small set of pieces can be disassembled and made into a new object.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6454,,
S2454415,2-PS1-4,2-PS1-4,"Construct an argument with evidence that some changes caused by heating or cooling can be reversed and some cannot.<br/>Education Level: 2<br/>Subject: science",1,,,,0,null,,6455,,
,3-5-ETS1,3-5-ETS1,"Engineering Design<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6456,,
S2467860,3-5-ETS1-1,3-5-ETS1-1,"Define a simple design problem reflecting a need or a want that includes specified criteria for success and constraints on materials, time, or cost.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6458,,
S2467860,3-5-ETS1-2,3-5-ETS1-2,"Generate and compare multiple possible solutions to a problem based on how well each is likely to meet the criteria and constraints of the problem.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6459,,
S2467860,3-5-ETS1-3,3-5-ETS1-3,"Plan and carry out fair tests in which variables are controlled and failure points are considered to identify aspects of a model or prototype that can be improved.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6460,,
,3-ESS2,3-ESS2,"Earth's Systems<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6461,,
S2454509,3-ESS2-1,3-ESS2-1,"Represent data in tables and graphical displays to describe typical weather conditions expected during a particular season.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6463,,
S2454509,3-ESS2-2,3-ESS2-2,"Obtain and combine information to describe climates in different regions of the world.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6464,,
,3-ESS3,3-ESS3,"Earth and Human Activity<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6465,,
S2454515,3-ESS3-1,3-ESS3-1,"Make a claim about the merit of a design solution that reduces the impacts of a weather-related hazard.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6467,,
,3-LS1,3-LS1,"From Molecules to Organisms: Structures and Processes<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6468,,
S2454464,3-LS1-1,3-LS1-1,"Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6470,,
,3-LS2,3-LS2,"Ecosystems: Interactions, Energy, and Dynamics<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6471,,
S2454474,3-LS2-1,3-LS2-1,"Construct an argument that some animals form groups that help members survive.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6473,,
,3-LS3,3-LS3,"Heredity: Inheritance and Variation of Traits<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6474,,
S2454488,3-LS3-1,3-LS3-1,"Analyze and interpret data to provide evidence that plants and animals have traits inherited from parents and that variation of these traits exists in a group of similar organisms.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6476,,
S2454488,3-LS3-2,3-LS3-2,"Use evidence to support the explanation that traits can be influenced by the environment.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6477,,
,3-LS4,3-LS4,"Biological Evolution: Unity and Diversity<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6478,,
S2454504,3-LS4-1,3-LS4-1,"Analyze and interpret data from fossils to provide evidence of the organisms and the environments in which they lived long ago.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6480,,
S2454504,3-LS4-2,3-LS4-2,"Use evidence to construct an explanation for how the variations in characteristics among individuals of the same species may provide advantages in surviving, finding mates, and reproducing.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6481,,
S2454504,3-LS4-3,3-LS4-3,"Construct an argument with evidence that in a particular habitat some organisms can survive well, some survive less well, and some cannot survive at all.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6482,,
S2454504,3-LS4-4,3-LS4-4,"Make a claim about the merit of a solution to a problem caused when the environment changes and the types of plants and animals that live there may change.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6483,,
,3-PS2,3-PS2,"Motion and Stability: Forces and Interactions<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6484,,
S2454460,3-PS2-1,3-PS2-1,"Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6486,,
S2454460,3-PS2-2,3-PS2-2,"Make observations and/or measurements of an object's motion to provide evidence that a pattern can be used to predict future motion.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6487,,
S2454460,3-PS2-3,3-PS2-3,"Ask questions to determine cause and effect relationships of electric or magnetic interactions between two objects not in contact with each other.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6488,,
S2454460,3-PS2-4,3-PS2-4,"Define a simple design problem that can be solved by applying scientific ideas about magnets.<br/>Education Level: 3<br/>Subject: science",1,,,,0,null,,6489,,
,4-ESS1,4-ESS1,"Earth's Place in the Universe<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6490,,
S2454576,4-ESS1-1,4-ESS1-1,"Identify evidence from patterns in rock formations and fossils in rock layers to support an explanation for changes in a landscape over time.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6492,,
,4-ESS2,4-ESS2,"Earth's Systems<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6493,,
S2472162,4-ESS2-1,4-ESS2-1,"Make observations and/or measurements to provide evidence of the effects of weathering or the rate of erosion by water, ice, wind, or vegetation.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6495,,
S2472162,4-ESS2-2,4-ESS2-2,"Analyze and interpret data from maps to describe patterns of Earth's features.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6496,,
,4-ESS3,4-ESS3,"Earth and Human Activity<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6497,,
S2467836,4-ESS3-1,4-ESS3-1,"Obtain and combine information to describe that energy and fuels are derived from natural resources and their uses affect the environment.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6499,,
S2467836,4-ESS3-2,4-ESS3-2,"Generate and compare multiple solutions to reduce the impacts of natural Earth processes on humans.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6500,,
,4-LS1,4-LS1,"From Molecules to Organisms: Structures and Processes<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6501,,
S2454561,4-LS1-1,4-LS1-1,"Construct an argument that plants and animals have internal and external structures that function to support survival, growth, behavior, and reproduction.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6503,,
S2454561,4-LS1-2,4-LS1-2,"Use a model to describe that animals' receive different types of information through their senses, process the information in their brain, and respond to the information in different ways.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6504,,
,4-PS3,4-PS3,"Energy<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6505,,
S2454519,4-PS3-1,4-PS3-1,"Use evidence to construct an explanation relating the speed of an object to the energy of that object.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6507,,
S2454519,4-PS3-2,4-PS3-2,"Make observations to provide evidence that energy can be transferred from place to place by sound, light, heat, and electric currents.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6508,,
S2454519,4-PS3-3,4-PS3-3,"Ask questions and predict outcomes about the changes in energy that occur when objects collide.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6509,,
S2454519,4-PS3-4,4-PS3-4,"Apply scientific ideas to design, test, and refine a device that converts energy from one form to another.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6510,,
,4-PS4,4-PS4,"Waves and their Applications in Technologies for Information Transfer<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6511,,
S2454529,4-PS4-1,4-PS4-1,"Develop a model of waves to describe patterns in terms of amplitude and wavelength and that waves can cause objects to move.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6513,,
S2454529,4-PS4-2,4-PS4-2,"Develop a model to describe that light reflecting from objects and entering the eye allows objects to be seen.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6514,,
S2454529,4-PS4-3,4-PS4-3,"Generate and compare multiple solutions that use patterns to transfer information.<br/>Education Level: 4<br/>Subject: science",1,,,,0,null,,6515,,
,5-ESS1,5-ESS1,"Earth's Place in the Universe<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6516,,
S2467857,5-ESS1-1,5-ESS1-1,"Support an argument that differences in the apparent brightness of the sun compared to other stars is due to their relative distances from Earth.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6518,,
S2467857,5-ESS1-2,5-ESS1-2,"Represent data in graphical displays to reveal patterns of daily changes in length and direction of shadows, day and night, and the seasonal appearance of some stars in the night sky.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6519,,
,5-ESS2,5-ESS2,"Earth's Systems<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6520,,
S2472163,5-ESS2-1,5-ESS2-1,"Develop a model using an example to describe ways the geosphere, biosphere, hydrosphere, and/or atmosphere interact.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6522,,
S2472163,5-ESS2-2,5-ESS2-2,"Describe and graph the amounts and percentages of water and fresh water in various reservoirs to provide evidence about the distribution of water on Earth.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6523,,
,5-ESS3,5-ESS3,"Earth and Human Activity<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6524,,
S2467859,5-ESS3-1,5-ESS3-1,"Obtain and combine information about ways individual communities use science ideas to protect the Earth's resources and environment.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6526,,
,5-LS1,5-LS1,"From Molecules to Organisms: Structures and Processes<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6527,,
S2467854,5-LS1-1,5-LS1-1,"Support an argument that plants get the materials they need for growth chiefly from air and water.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6529,,
,5-LS2,5-LS2,"Ecosystems: Interactions, Energy, and Dynamics<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6530,,
S2467855,5-LS2-1,5-LS2-1,"Develop a model to describe the movement of matter among plants, animals, decomposers, and the environment.<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6532,,
,5-PS1,5-PS1,"Matter and Its Interactions<br/>Education Level: 5<br/>Subject: science",1,,,,0,null,,6533,,
