"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,IT1,"Kompetenzrahmen IT (FH Wien)","<p>http://kompetenzatlas.fh-wien.ac.at/?page_id=1096<br /></p>",1,"grundlegend ausgeprägt,ausgeprägt,stark ausgeprägt","[{""scaleid"":""4""},{""id"":1,""scaledefault"":1,""proficient"":1},{""id"":2,""scaledefault"":0,""proficient"":1},{""id"":3,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,A,"Aktivitäts- und Handlungskompetenz",,1,,,,0,null,,18,,
A,A/F1,"Ergebnisorientiertes Handeln","<p></p><div>
                    							<p><strong>Ergebnisorientiertes Handeln: </strong>Fähigkeit, an Ergebnissen orientiert zu handeln</p>
<p><br /></p>
<p>Kompetenzbegriff:</p>
<p></p><p><br /></p>
<p>Identifikationsmerkmale und Kurzcharakteristika der Kompetenzkombinationen<br />
Verfolgt und realisiert Ziele bewusst mit großer Willensstärke, 
Beharrlichkeit und Aktivität und gibt sich erst zufrieden, wenn klare 
Ergebnisse vorliegen<br />
Beeinflusst aktiv alle Teilaspekte des zum Ziel führenden Handelns<br />
Handelt ausdauernd, um bei zeitweiligen Schwierigkeiten Ergebnisse zu sichern<br />
Geht bei Erwartung von konkreten Ergebnissen hoch motiviert vor</p>
<p><br /></p>
<p></p>
<p>Erläuterungen:</p>
<p></p><p><br /></p>
<p>Ergebnisorientiertes Handeln ist eine auf solidem 
fachlich-methodischem Wissen, auf Erfahrungen und komplexem Können 
beruhende Aktivität, die der Erreichung vorgegebener oder selbst 
gesetzter geistiger oder praktischer Ziele dient. Diese Aktivität wird 
mit Willensstärke und Beharrlichkeit auch unter Widerständen und 
Belastungen verfolgt. Im Gegensatz zu rein affektgebundenem oder aber 
durch äußere Vorgaben bestimmtem Handeln ist ergebnisorientiertes 
Handeln immer eine bewusste, fachliches und methodisches Wissen sowie 
Handlungsantrieb, -orientierung, -ausführung und -kontrolle als 
übergreifende Funktionseinheit zusammenschließende Aktivität.</p>
<p><br /></p>
<p></p>
<p>Kompetenzübertreibungen:</p>
<p><br />
Erfolg wird über alles gestellt; um des Ergebnisses willen werden
 wichtige andere Bedingungen, Beziehungen… ausgeklammert oder 
verdrängt..</p>
                        					</div><br />",1,,,,0,null,,31,,
A,A/F2,"Zielorientiertes Führen","<p></p><p><strong>Zielorientiertes Führen:</strong> Fähigkeit, andere auf Ziele hin zu orientieren</p>
<p><br /></p>
<p>Kompetenzbegriff:</p>
<p><br /></p>
<p>Bündelt Aktivitäten auf Ziele hin und schwört alle auf diese Ziele ein<br />
Setzt das zur Zielsetzung notwendige Sach-, Methoden- und Wertwissen aktiv ein<br />
Richtet das eigene Wirken auf klar beschriebene Ziele und Resultate und nicht auf spontane Aktionen aus<br />
Vermittelt den Mitarbeitern die Ziele plausibel und achtet darauf, dass sie diese kennen und verinnerlichen</p>
<p><br /></p>
<p>Erläuterungen:</p>
<p><br /></p>
<p>Zielorientiertes Führen beschreibt ein aktives, intensives 
Führungshandeln, das nicht in erster Linie auf die eigene Positionsmacht
 oder die gute Beziehung von Führung und Mitgliedern gerichtet ist, 
sondern sich auf die erkannte, fachlich-methodisch zu beschreibende und 
zu beherrschende Aufgabenstruktur bezieht, die der Führungsaktivität zu 
Grunde gelegt wird. Setzen und Durchsetzen von Zielen sind 
Grundvoraussetzungen einer guten Führung. Dabei steht das Bemühen um 
klare und präzise Ziele und das entsprechende Verständnis der 
Mitarbeiter im Vordergrund. Je besser die Zielorientierungen den 
Mitarbeitern vermittelt werden können, desto höher liegen damit die 
Erfolgschancen des zielorientierten Führens. Hier zählen Wissen, 
methodische Erfahrungen und Aktivität des Führenden mehr als personales 
Charisma oder soziale Beziehungsfähigkeit.</p>
<p><br /></p>
<p>Kompetenzübertreibungen:</p>
<p><br /></p>
<p>Alle aufgeführten Überziehungen sind -erweiterbare- Beispiele<br />
Verabsolutiert Ziele, grenzt die Gestaltungsmöglichkeiten Dritter ein…</p><br />",1,,,,0,null,,32,,
A,A/F3,"Beharrlichkeit ","<p></p><div>
                    							<p><strong>Beharrlichkeit: </strong>Fähigkeit, beharrlich zu handeln</p>
<p><br /></p>
<p>Kompetenzbegriff:</p>
<p></p><p><br /></p>
<p>Analysiert Widersprüche tiefgründig, und erkundet eigene Handlungsmöglichkeiten<br />
Überwindet auftretende Widerstände, Belastungen und Hindernisse standhaft und hartnäckig<br />
Realisiert bei der Analyse und beim Tätigwerden stets – fremd oder selbst – gesetzte, konkrete Handlungsziele konsequent<br />
Verfolgt die selbst gesetzten Ziele ausdauernd</p>
<p><br /></p>
<p></p>
<p>Erläuterungen:</p>
<p></p><p><br /></p>
<p></p>
<p>Beharrlichkeit beschreibt die aktive, konsequente und dauerhafte 
Zielverfolgung beim Auftreten gegensätzlicher Wissensbestände, 
unterschiedlicher methodischer Möglichkeiten und widersprüchlicher 
Handlungsbedingungen. Dabei wirken dann das fachlich- methodische Wissen
 und die persönliche Aktivität, Willensstärke und Motivation eng 
zusammen. Nur in dieser Hinsicht (nicht in Bezug auf die Durchsetzung 
privater Bedürfnisse und Wünsche) wird Beharrlichkeit hier betrachtet. 
Beharrlichkeit ist eine wichtige Voraussetzung, um fachliche 
Sprunghaftigkeit und Unbeständigkeit zu vermeiden.</p>
<p><br /></p>
<p>Kompetenzübertreibungen:</p>
<p><br />
Handelt starrsinnig, unbeweglich, ist nur sehr eingeschränkt anpassungsfähig…</p>
                        					</div><br />",1,,,,0,null,,33,,
A,A/F4,"Konsequenz ","<p></p><div>
                    							<p><strong>Konsequenz: </strong>Fähigkeit, folgerichtig zu handeln</p>
<p><br /></p>
<p>Kompetenzbegriff:</p>
<p><br /></p>
<p>Handelt in einer 
Situation erst, nachdem zuvor die sachlichen Gegebenheiten und 
methodischen Möglichkeiten umfassend analysiert wurden; hält Emotionen 
und vorschnelle Wertungen aus sachlichen Analysen heraus<br />
Verfolgt das als richtig erkannte Ziel ohne Umschweife, geht dabei von einem festen Wertfundament aus<br />
Geht – auch außerhalb der Arbeitssphäre – keine oberflächlichen Kompromisse ein<br />
Setzt als richtig Erkanntes möglichst schnell und energisch handelnd durch</p>
<p><br /></p>
<p><br /></p>
<p>
Erläuterungen:</p>
<p><br /></p>
<p>
Konsequenz ist eine Haltung, die folgerichtiges Denken mit 
folgerichtigem, zielstrebigem Handeln verbindet. Sie bezieht sowohl die 
Gesamtheit der sachlichen Gegebenheiten, als auch die Folge-, Aus- und 
Nachwirkungen des Handelns ein.<br />
Während Konsequenz im fachlich-methodischen Denken Gefühls- und 
Wertaspekte ausklammern muss, um zu gültigen Resultaten zu gelangen, 
spielt im Bereich des Handelns gerade die Stabilität dieser Gefühls- und
 Wertaspekte die entscheidende Rolle für ein konsequentes Vorgehen.</p>
<p><br /></p>
<p>
Kompetenzübertreibungen:</p>
<p><br /></p>
<p>
Verleugnet Emotionen und subjektive Wertungen und geht auch vernünftigen
 Kompromissen aus dem Weg; beharrt auf der eigenen Meinung…</p>
                        					</div><br />",1,,,,0,null,,34,,
A,A/P1,"Entscheidungsfähigkeit ","<p></p><div>
                    							<p><strong>Entscheidungsfähigkeit: </strong>Fähigkeit, Entscheidungen unverzüglich zu treffen</p>
<p><br /></p>
<p>Kompetenzbegriff:</p>
<p><br /></p>
<p>Entscheidet aktiv zwischen unterschiedlichen Handlungsmöglichkeiten; realisiert selbst gesetzte, eigene, kreative Ziele<br />
Beurteilt Alternativen sowohl erkenntnismäßig wie wertemäßig<br />
Nutzt in Fällen nicht berechenbarer Entscheidungen den eigenen emotionalen und erfahrungsmäßigen Hintergrund um aktiv zu werden<br />
Setzt deutliche Prioritäten, um zu handeln; konzentriert sich auf das Wesentliche</p>
<p><br /></p>
<p>Erläuterungen:</p>
<p></p><p><br /></p>
<p>Entscheidungsfähigkeit ist das personale Vermögen, aktiv und 
selbstbestimmt die unterschiedlichen Handlungsmöglichkeiten voll 
wahrzunehmen, um einen Auftrag oder eine Aufgabe zu erfüllen. Das 
schließt stets selbstständige, kreative Zielsetzungen ein. 
Entscheidungen sind der Drehpunkt zwischen jedem Handlungsentschluss und
 der Handlungsausführung; Entscheidungsunfähigkeit führt zu 
Handlungsunfähigkeit. Je größer die Freiheitsgrade des Handelns sind, je
 unbestimmter sich Aufgaben und Ziele der Arbeit darstellen, desto 
wichtiger wird die Entscheidungsfähigkeit. Führungsfähigkeit setzt in 
besonderem Maße Entscheidungsfähigkeit voraus und schließt damit 
zugleich das Setzen von Zielen, das wirksame Entscheiden, Realisieren, 
Kontrollieren sowie das differenzierte Fördern von Menschen ein. Es ist 
die Fähigkeit, Mitarbeiter zielorientiert, planvoll, organisiert und 
kontrolliert einzusetzen und zu steuern und selbst Vorbild zu sein. Das 
ist ohne die Fähigkeit, zu entscheiden, nicht zu realisieren.</p>
<p><br /></p>
<p></p>
<p>Kompetenzübertreibungen:</p>
<p><br /></p>
<p>Trifft Entscheidungen vorschnell, unabgesprochen, leichtsinnig, unbedacht…</p>
                        					</div><br />",1,,,,0,null,,23,,
A,A/P2,"Gestaltungswille ","<p></p><div>
                    							<p><strong>Gestaltungswille: </strong>Fähigkeit, etwas willensstark zu gestalten</p>
<p><br /></p>
<p>Kompetenzbegriff:</p>
<p></p><p><br /></p>
<p>Gestaltet aktiv und unter Überwindung von Widerständen und Belastungen neue Produkte, Dienstleistungen, Beziehungen<br />
Realisiert auch unter komplizierten Bedingungen eigene Vorhaben und 
erträgt dabei Unbestimmtheiten und Widersprüche, die sich bei der 
Realisierung ergeben<br />
Unterscheidet klar zwischen Wesentlichem und weniger Wesentlichem und handelt danach<br />
Handelt hoch aktiv bei erhöhten Anforderungen und Herausforderungen</p>
<p><br /></p>
<p></p>
<p>Erläuterungen:</p>
<p></p><p><br /></p>
<p>Gestaltungswille ist der personal verankerte Antrieb, Produkte, 
Verhältnisse und Beziehungen gemäß eigenem Wissen und entsprechend 
eigenen Werten und Erfahrungen auszuformen oder neu zu entwickeln.<br />
Gestaltungswille setzt das Vorhandensein oder Entwickeln von Gestaltungsfähigkeiten und Gestaltungszielen voraus.<br />
Gestaltungswille ist die Voraussetzung, um mit Problemen, Hindernissen und persönlichen Belastungen fertig zu werden.</p>
<p><br /></p>
<p></p>
<p>Kompetenzübertreibungen:</p>
<p><br />
Übernimmt zu viele schwierige Aufgaben und Herausforderungen gleichzeitig; hält starr an einem beschlossenen Vorhaben fest…</p>
                        					</div><br />",1,,,,0,null,,24,,
A,A/P3,"Innovationsfreudigkeit ","<p></p><div>
                    							<p><strong>Innovationsfreudigkeit: </strong>Fähigkeit, Neuerungen gerne anzugehen</p>
<p><br /></p>
<p>Kompetenzbegriff:</p>
<p><br /></p>
<p>Sucht und realisiert aktiv positive Veränderungen von Produkten, 
Produktions- und Organisationsmethoden, Marktbeziehungen und 
übergreifenden Vernetzungen<br /></p>
<p>Unterstützt Neues auch außerhalb der Arbeitssphäre, im sozialen Umfeld, im Freizeitbereich, in der Privatsphäre<br />
Setzt Neuerungen gern aktiv um<br /></p>
<p>Handelt innovativ durch den intensiven Gewinn von Erfahrungen, durch Lernen und Umweltexploration<br /></p>
<p><br /></p>
<p>Erläuterungen:</p>
<p></p><p><br /></p>
<p><br /></p>
<p>Innovationsfreudigkeit bezeichnet die personal verankerte positive 
Bewertung und die entsprechend aktiv und unter hohem persönlichen 
Einsatz praktizierte Suche und Realisierung von Neuem. Die Neuerungen 
können sich dabei auf neue Produkte, neue Produktions- und 
Organisationsmethoden, neue Marktbeziehungen und neue arbeitsgruppen- 
oder unternehmensübergreifende Vernetzungen beziehen. Sie schließen ein,
 ungewöhnliche Problemlösungswege im Rahmen der Tätigkeit zu erkennen 
und richtig anzuwenden, Alternativen herauszuarbeiten und um 
realistische zielgerichtete Entscheidungen zu treffen.<br />
Voraussetzung der Innovationsfreudigkeit ist eine aktive und intensive 
Umweltexploration. Sie umfasst mehr als nur spezifische Wissensanteile 
und setzt eine systematische Informationsbeschaffung und -verarbeitung 
voraus, die das Wissen um wichtige Meinungsbildner und Multiplikatoren 
für die Arbeit des Unternehmens einschließt und Aufbau und Pflege 
entsprechender sozialer aktiv Beziehungen betreibt.</p>
<p><br /></p>
<p>Kompetenzübertreibungen:</p>
<p><br /></p>
<p></p>
<p>Ändert zu viel gleichzeitig, betreibt Veränderungen um ihrer selbst Willen und verunsichert dadurch andere…</p>
                        					</div><br />",1,,,,0,null,,25,,
A,A/P4,"Belastbarkeit ","<p></p><p><strong>Belastbarkeit: </strong>Fähigkeit, unter äußeren und inneren Belastungen zu handeln</p>
<p><br /></p>
<p>Kompetenzbegriff:</p>
<p><br /></p>
<p>Organisiert sich gut bei Unbestimmtheiten, Schwierigkeiten, Widerständen und unter Stress für einen überschaubaren Zeitraum<br />
Realisiert auch unter komplizierten Bedingungen Vorhaben und wird durch erhöhte Anforderungen herausgefordert und aktiviert<br />
Macht durch das eigene Verhalten auch anderen Mut, sich Belastungen zu 
stellen und diese als Herausforderungen für die Entwicklung der eigenen 
Person oder der Gruppe, Abteilung… anzunehmen<br />
Behandelt zurückliegende Konflikte und kritische Bewährungssituationen als persönliche Entwicklungs- und Reifeimpulse</p>
<p><br /></p>
<p>Erläuterungen:</p>
<p><br /></p>
<p>Unter Belastbarkeit wird vorwiegend die personale Fähigkeit 
verstanden, auch unter schweren seelischen, sozialen und körperlichen 
Anspannungen weitgehend Fehlreaktionen zu vermeiden und zielorientiert 
und sachlich zu handeln.<br />
Belastbarkeit setzt umfassende persönliche Erfahrungen im Umgang mit 
Stress (seitens der Arbeitsbedingungen und -umwelt) und sozialen) 
Konflikten voraus.<br />
Mit zunehmender Komplexität und Dynamik im Arbeitsprozess und damit 
zunehmender Unübersichtlichkeit und Vorhersagbarkeit von Ereignissen und
 Folgen nehmen die Anforderungen an die Belastbarkeit von 
Führungskräften, Mitarbeitern, Teams und ganzen Organisationen… zu. 
Insbesondere gilt es, mit Risiken, Unbestimmtheiten, Widersprüchen 
mental anders umzugehen: sie als „normal“ anzunehmen, Möglichkeiten der 
Selbstentwicklung hierin zu sehen und gestaltend anzunehmen.</p>
<p><br /></p>
<p>Kompetenzübertreibungen:</p>
<p><br /></p>
<p>„Holt sich zu viel auf den Tisch“; hält mehr aus als andere und mutet deshalb sich und anderen zu viel zu…</p>
<p><br /></p><br />",1,,,,0,null,,26,,
