"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,http://corestandards.org/Math/,CCSS.Math,"Mathematics Standards",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,competency
,http://corestandards.org/Math/Content/,CCSS.Math.Content,Content,1,,,,0,null,,3012,,
http://corestandards.org/Math/Content/,http://corestandards.org/Math/Content/1/,CCSS.Math.Content.1,"Grade 1",1,,,,0,null,,3014,,
http://corestandards.org/Math/Content/1/,http://corestandards.org/Math/Content/1/G/,CCSS.Math.Content.1.G,"Grade 1 » Geometry",1,,,,0,null,,3023,,
http://corestandards.org/Math/Content/1/G/,http://corestandards.org/Math/Content/1/G/A/,CCSS.Math.Content.1.G.A,"Grade 1 » Geometry » Reason with shapes and their attributes.  ",1,,,,0,null,,3073,,
http://corestandards.org/Math/Content/1/G/A/,http://corestandards.org/Math/Content/1/G/A/1/,CCSS.Math.Content.1.G.A.1,"<p>Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3176,,
http://corestandards.org/Math/Content/1/G/A/,http://corestandards.org/Math/Content/1/G/A/2/,CCSS.Math.Content.1.G.A.2,"<p>Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.<sup>1</sup></p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3177,,
http://corestandards.org/Math/Content/1/G/A/,http://corestandards.org/Math/Content/1/G/A/3/,CCSS.Math.Content.1.G.A.3,"<p>Partition circles and rectangles into two and four equal shares, describe the shares using the words <i>halves</i>, <i>fourths</i>, and <i>quarters</i>, and use the phrases <i>half of</i>, <i>fourth of</i>, and <i>quarter of</i>. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3178,,
http://corestandards.org/Math/Content/1/,http://corestandards.org/Math/Content/1/MD/,CCSS.Math.Content.1.MD,"Grade 1 » Measurement & Data",1,,,,0,null,,3038,,
http://corestandards.org/Math/Content/1/MD/,http://corestandards.org/Math/Content/1/MD/A/,CCSS.Math.Content.1.MD.A,"Grade 1 » Measurement & Data » Measure lengths indirectly and by iterating length units.  ",1,,,,0,null,,3097,,
http://corestandards.org/Math/Content/1/MD/A/,http://corestandards.org/Math/Content/1/MD/A/1/,CCSS.Math.Content.1.MD.A.1,"<p>Order three objects by length; compare the lengths of two objects indirectly by using a third object.</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3242,,
http://corestandards.org/Math/Content/1/MD/A/,http://corestandards.org/Math/Content/1/MD/A/2/,CCSS.Math.Content.1.MD.A.2,"<p>Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. <i>Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps</i>.</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3243,,
http://corestandards.org/Math/Content/1/MD/,http://corestandards.org/Math/Content/1/MD/B/,CCSS.Math.Content.1.MD.B,"Grade 1 » Measurement & Data » Tell and write time.  ",1,,,,0,null,,3098,,
http://corestandards.org/Math/Content/1/MD/B/,http://corestandards.org/Math/Content/1/MD/B/3/,CCSS.Math.Content.1.MD.B.3,"<p>Tell and write time in hours and half-hours using analog and digital clocks.</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3244,,
http://corestandards.org/Math/Content/1/MD/,http://corestandards.org/Math/Content/1/MD/C/,CCSS.Math.Content.1.MD.C,"Grade 1 » Measurement & Data » Represent and interpret data.  ",1,,,,0,null,,3099,,
http://corestandards.org/Math/Content/1/MD/C/,http://corestandards.org/Math/Content/1/MD/C/4/,CCSS.Math.Content.1.MD.C.4,"<p>Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3245,,
http://corestandards.org/Math/Content/1/,http://corestandards.org/Math/Content/1/NBT/,CCSS.Math.Content.1.NBT,"Grade 1 » Number & Operations in Base Ten ",1,,,,0,null,,3074,,
http://corestandards.org/Math/Content/1/NBT/,http://corestandards.org/Math/Content/1/NBT/A/,CCSS.Math.Content.1.NBT.A,"Grade 1 » Number & Operations in Base Ten  » Extend the counting sequence.  ",1,,,,0,null,,3179,,
http://corestandards.org/Math/Content/1/NBT/A/,http://corestandards.org/Math/Content/1/NBT/A/1/,CCSS.Math.Content.1.NBT.A.1,"<p>Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3425,,
http://corestandards.org/Math/Content/1/NBT/,http://corestandards.org/Math/Content/1/NBT/B/,CCSS.Math.Content.1.NBT.B,"Grade 1 » Number & Operations in Base Ten  » Understand place value.  ",1,,,,0,null,,3180,,
http://corestandards.org/Math/Content/1/NBT/B/,http://corestandards.org/Math/Content/1/NBT/B/2/,CCSS.Math.Content.1.NBT.B.2,"<p>Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3426,,
http://corestandards.org/Math/Content/1/NBT/B/2/,http://corestandards.org/Math/Content/1/NBT/B/2/a/,CCSS.Math.Content.1.NBT.B.2a,"<p>10 can be thought of as a bundle of ten ones &mdash; called a ""ten.""</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3658,,
http://corestandards.org/Math/Content/1/NBT/B/2/,http://corestandards.org/Math/Content/1/NBT/B/2/b/,CCSS.Math.Content.1.NBT.B.2b,"<p>The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3659,,
http://corestandards.org/Math/Content/1/NBT/B/2/,http://corestandards.org/Math/Content/1/NBT/B/2/c/,CCSS.Math.Content.1.NBT.B.2c,"<p>The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).</p><p><strong>Grade levels</strong><br/>01</p>",1,,,,0,null,,3660,,
