"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,2016,CEFR,"<p><a href=""https://en.wikipedia.org/wiki/Common_European_Framework_of_Reference_for_Languages"">Common European Framework of Reference for Languages</a></p>",1,"Not yet competent,Competent","[{""scaleid"":""7""},{""id"":2,""scaledefault"":1,""proficient"":1},{""id"":3,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency,competency,competency"
,20161,A1,"Basic user - Beginner",1,,,,0,null,,1,,
20161,20162,"A1 (i)","Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type.",1,,,,0,null,,2,,
20161,20163,"A1 (ii)","Can introduce him/herself and others and can ask and answer questions about personal details such as where he/she lives, people he/she knows and things he/she has.",1,,,,0,null,,3,,
20161,20164,"A1 (iii)","Can interact in a simple way provided the other person talks slowly and clearly and is prepared to help.",1,,,,0,null,,4,,
,20165,A2,"Basic user - elementary",1,,,,0,null,,5,,
20165,20166,"A2 (i)","Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment).",1,,,,0,null,,6,,
20165,20167,"A2 (ii)","Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters.",1,,,,0,null,,7,,
20165,20168,"A2 (iii)","Can describe in simple terms aspects of his/her background, immediate environment and matters in areas of immediate need.",1,,,,0,null,,8,,
,20169,"B1 ","Independent user - Threshold",1,,,,0,null,,9,,
20169,201610,"B1 (i)","Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc.",1,,,,0,null,,10,,
20169,201611,"B1 (ii)","Can deal with most situations likely to arise while travelling in an area where the language is spoken.",1,,,,0,null,,11,,
20169,201612,"B1 (iii)","Can produce simple connected text on topics that are familiar or of personal interest.",1,,,,0,null,,12,,
20169,201613,"B1 (iv)","Can describe experiences and events, dreams, hopes and ambitions and briefly give reasons and explanations for opinions and plan",1,,,,0,null,,13,,
,201614,B2,"Independent user - Upper Intermediate",1,,,,0,null,,14,,
201614,201615,"B2 (i)","Can understand the main ideas of complex text on both concrete and abstract topics, including technical discussions in his/her field of specialization.",1,,,,0,null,,15,,
201614,201616,"B2 (ii)","Can interact with a degree of fluency and spontaneity that makes regular interaction with native speakers quite possible without strain for either party.",1,,,,0,null,,16,,
201614,201617,"B2 (iii)","Can produce clear, detailed text on a wide range of subjects and explain a viewpoint on a topical issue giving the advantages and disadvantages of various options.",1,,,,0,null,,17,,
,201618,C1,"Proficient user - effective operational proficiency (advanced)",1,,,,0,null,,18,,
201618,201619,"C1 (i)","Can understand a wide range of demanding, longer clauses, and recognize implicit meaning",1,,,,0,null,,19,,
201618,201620,"C1 (ii)","Can express ideas fluently and spontaneously without much obvious searching for expressions.",1,,,,0,null,,20,,
201618,201621,"C1 (iii)","Can use language flexibly and effectively for social, academic and professional purposes.",1,,,,0,null,,21,,
201618,201622,"C1 (iv)","Can produce clear, well-structured, detailed text on complex subjects, showing controlled use of organizational patterns, connectors and cohesive devices.",1,,,,0,null,,22,,
,201623,C2,"Proficient user - Mastery",1,,,,0,null,,23,,
201623,201624,"C2 (i)","Can understand with ease virtually everything heard or read.",1,,,,0,null,,24,,
201623,201625,"C2 (ii)","Can summarize information from different spoken and written sources, reconstructing arguments and accounts in a coherent presentation.",1,,,,0,null,,25,,
201623,201626,"C2 (iii)","Can express him/herself spontaneously, very fluently and precisely, differentiating finer shades of meaning even in the most complex situations.",1,,,,0,null,,26,,
