"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","성과 규칙 (선택 사항)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,NCS,직업기초능력,"<p>NCS 직업기초능력 역량</p>",1,"매우미흡,미흡,보통,우수,매우우수","[{""scaleid"":""11""},{""id"":1,""scaledefault"":0,""proficient"":1},{""id"":2,""scaledefault"":0,""proficient"":1},{""id"":3,""scaledefault"":1,""proficient"":0},{""id"":4,""scaledefault"":0,""proficient"":1},{""id"":5,""scaledefault"":0,""proficient"":1}]",,,,,,1,"concept,practice,competency,outcome"
,ncs01,의사소통능력,"<p>업무를 수행함에 있어 글과 말을 읽고 들음으로써 다른 사람이 뜻한 바를 파악하고, 자기가 뜻한 바를 글과 말을 통해 정확하게 쓰거나 말하는 능력이다<br /></p>",1,,,,0,null,,1,,
ncs01,ncs01-1,문서이해능력,"<p>업무를 수행함에 있어 다른 사람이 적성한 글을 읽고 그 내용을 이해하는 능력<br /></p><p></p><ul><li>문서 정보 확인 및 획득</li><li>문서 정보 이해 및 수집</li><li>문서 정보 평가</li></ul><br /><p></p>",1,,,,0,null,,2,,
ncs01,ncs01-2,문서작성능력,"<p><span>업무를 수행함으로 있어 자기가 뜻한 바를 글로 나타내는 능력</span><br /></p><p><span></span></p><ul><li>작성 문서의 정보 확인 및 조직</li><li>목적과 상황에 맞는 문서 작성</li><li>작성한 문서 교정 및 평가</li></ul><br /><p></p>",1,,,,0,null,,3,,
ncs01,ncs01-3,경청능력,"<p>업무를 수행함에 있어 다른 사람의 말을 듣고 그 내용을 이해하는 능력<br /></p><p></p><ul><li>음성정보와 매체 정보 듣기</li><li>음성 정보와 매체 정보 내용 이해</li><li>음성 정보와 매체 정보에 대한 반응과 평가</li></ul><br /><p></p>",1,,,,0,null,,4,,
ncs01,ncs01-4,의사표현능력,"<p>업무를 수행함에 있어 자기가 뜻한 바를 말로 나타내는 능력<br /></p><p></p><ul><li>목적과 상황에 맞는 정보조직</li><li>목적과 상황에 맞게 전달</li><li>대회에 대한 피드백과 평가</li></ul><br /><p></p>",1,,,,0,null,,5,,
ncs01,ncs01-5,기초외국어능력,"<p>업무를 수행함에 있어 외국어로 의사소통 할 수 있는 능력<br /></p><p></p><ul><li>외국어 듣기</li><li>일상생활의 회화 활용</li></ul><br /><p></p>",1,,,,0,null,,6,,
,ncs02,수리능력,"<p>업무를 수행함에 있어 사칙연산, 통계, 확률의 의미를 정확하게 이해하고,이를 업무에 적용하는 능력이다.<br /></p>",1,,,,0,null,,7,,
,ncs03,문제해결능력,"<p>업무를 수행함에 있어 문제 상황이 발생하였을 경우, 창조적이고 논리적인 사고를 통하여 이를 올바르게 인식하고 적절히 해결하는 능력이다.<br /></p>",1,,,,0,null,,8,,
,ncs04,자기개발능력,"<p>업무를 추진하는데 스스로를 관리하고 개발하는 능력이다.<br /></p>",1,,,,0,null,,9,,
,ncs05,자원관리능력,"<p>업무를 수행하는데 시간, 자본, 재료 및 시설, 인적자원 등의 자원 가운데 무엇이 얼마나 필요한지를 확인하고, 이용 가능한 자원을 최대한 수집하여 실제 업무에 어떻게 활용할 것인지를 계획하고, 계획대로 업무 수행에 이를 할당하는 능력이다.<br /></p>",1,,,,0,null,,10,,
,ncs06,대인관계능력,"<p>업무를 수행함에 있어 접촉하게 되는 사람들과 문제를 일으키지 않고 원만하게 지내는 능력이다.<br /></p>",1,,,,0,null,,11,,
,ncs07,정보능력,"<p></p><p>업무와 관련된 정보를 수집하고, 이를 분석하여 의미있는 정보를 찾아내며, 의미있는 정보를 업무수행에 적절하도록 조직하고, 조직된 정보를 관리하며, 업무 수행에 이러한 정보를 활용하고, 이러한 제 과정에 컴퓨터를 사용하는 능력이다.</p><br /><br /><p></p>",1,,,,0,null,,12,,
,ncs08,기술능력,"<p>업무를 수행함에 있어 도구, 장치 등을 포함하여 필요한 기술에는 어떠한 것들이 있는지 이해하고, 실제로 업무를 수행함에 있어 적절한 기술을 선택하여 적용하는 능력이다.<br /></p>",1,,,,0,null,,13,,
