"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,http://corestandards.org/ELA-Literacy/,CCSS.ELA-Literacy,"English Language Arts Standards",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,competency
,http://corestandards.org/ELA-Literacy/CCRA/,CCSS.ELA-Literacy.CCRA,"Anchor Standards",1,,,,0,null,,3783,,
http://corestandards.org/ELA-Literacy/CCRA/,http://corestandards.org/ELA-Literacy/CCRA/L/,CCSS.ELA-Literacy.CCRA.L,"English Language Arts Standards » Anchor Standards » College and Career Readiness Anchor Standards for Language",1,,,,0,null,,3953,,
http://corestandards.org/ELA-Literacy/CCRA/L/,http://corestandards.org/ELA-Literacy/CCRA/L/1/,CCSS.ELA-Literacy.CCRA.L.1,"<p>Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4458,,
http://corestandards.org/ELA-Literacy/CCRA/L/,http://corestandards.org/ELA-Literacy/CCRA/L/2/,CCSS.ELA-Literacy.CCRA.L.2,"<p>Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4459,,
http://corestandards.org/ELA-Literacy/CCRA/L/,http://corestandards.org/ELA-Literacy/CCRA/L/3/,CCSS.ELA-Literacy.CCRA.L.3,"<p>Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4460,,
http://corestandards.org/ELA-Literacy/CCRA/L/,http://corestandards.org/ELA-Literacy/CCRA/L/4/,CCSS.ELA-Literacy.CCRA.L.4,"<p>Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4461,,
http://corestandards.org/ELA-Literacy/CCRA/L/,http://corestandards.org/ELA-Literacy/CCRA/L/5/,CCSS.ELA-Literacy.CCRA.L.5,"<p>Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4462,,
http://corestandards.org/ELA-Literacy/CCRA/L/,http://corestandards.org/ELA-Literacy/CCRA/L/6/,CCSS.ELA-Literacy.CCRA.L.6,"<p>Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4463,,
http://corestandards.org/ELA-Literacy/CCRA/,http://corestandards.org/ELA-Literacy/CCRA/R/,CCSS.ELA-Literacy.CCRA.R,"English Language Arts Standards » Anchor Standards » College and Career Readiness Anchor Standards for Reading",1,,,,0,null,,3954,,
http://corestandards.org/ELA-Literacy/CCRA/R/,http://corestandards.org/ELA-Literacy/CCRA/R/1/,CCSS.ELA-Literacy.CCRA.R.1,"<p>Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4464,,
http://corestandards.org/ELA-Literacy/CCRA/R/,http://corestandards.org/ELA-Literacy/CCRA/R/10/,CCSS.ELA-Literacy.CCRA.R.10,"<p>Read and comprehend complex literary and informational texts independently and proficiently.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4596,,
http://corestandards.org/ELA-Literacy/CCRA/R/,http://corestandards.org/ELA-Literacy/CCRA/R/2/,CCSS.ELA-Literacy.CCRA.R.2,"<p>Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4465,,
http://corestandards.org/ELA-Literacy/CCRA/R/,http://corestandards.org/ELA-Literacy/CCRA/R/3/,CCSS.ELA-Literacy.CCRA.R.3,"<p>Analyze how and why individuals, events, or ideas develop and interact over the course of a text.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4466,,
http://corestandards.org/ELA-Literacy/CCRA/R/,http://corestandards.org/ELA-Literacy/CCRA/R/4/,CCSS.ELA-Literacy.CCRA.R.4,"<p>Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4467,,
http://corestandards.org/ELA-Literacy/CCRA/R/,http://corestandards.org/ELA-Literacy/CCRA/R/5/,CCSS.ELA-Literacy.CCRA.R.5,"<p>Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4468,,
http://corestandards.org/ELA-Literacy/CCRA/R/,http://corestandards.org/ELA-Literacy/CCRA/R/6/,CCSS.ELA-Literacy.CCRA.R.6,"<p>Assess how point of view or purpose shapes the content and style of a text.</p><p><strong>Grade levels</strong><br/>K, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12</p>",1,,,,0,null,,4469,,
