"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,D2607350,"College, Career, and Civic Life (C3) Framework for Social Studies State Standards","The College, Career, and Civic Life (C3) Framework for Social Studies State Standards was conceptualized by individual state leaders in social studies education and supported by fifteen professional organizations representing four core social studies content areas: civics, economics, geography, and history. The C3 Framework was written by experts in the academic disciplines and social studies education in collaboration with classroom teachers, state social studies education leaders, and representatives of professional organizations.<br/>Subject: socialStudies",1,"Not yet competent,Competent","[{""scaleid"":""28""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
S2607365,D1.1.3-5,D1.1.3-5,"Explain why compelling questions are important to others (e.g., peers, adults).<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2462,,
S2607365,D1.1.6-8,D1.1.6-8,"Explain how a question represents key ideas in the field.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2463,,
S2607365,D1.1.9-12,D1.1.9-12,"Explain how a question reflects an enduring issue in the field.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2464,,
S2607365,D1.1.K-2,D1.1.K-2,"Explain why the compelling question is important to the student.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2465,,
S2607365,D1.2.3-5,D1.2.3-5,"Identify disciplinary concepts and ideas associated with a compelling question that are open to different interpretations.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2466,,
S2607365,D1.2.6-8,D1.2.6-8,"Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2467,,
S2607365,D1.2.9-12,D1.2.9-12,"Explain points of agreement and disagreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2468,,
S2607365,D1.2.K-2,D1.2.K-2,"Identify disciplinary ideas associated with a compelling question.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2469,,
S2607374,D1.3.3-5,D1.3.3-5,"Identify the disciplinary concepts and ideas associated with a supporting question that are open to interpretation.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2471,,
S2607374,D1.3.9-12,D1.3.9-12,"Explain points of agreement and disagreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a supporting question.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2472,,
S2607374,D1.3.K-2,D1.3.K-2,"Identify facts and concepts associated with a supporting question.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2473,,
S2607374,D1.4.3-5,D1.4.3-5,"Explain how supporting questions help answer compelling questions in an inquiry.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2474,,
S2607374,D1.4.6-8,D1.4.6-8,"Explain how the relationship between supporting questions and compelling questions is mutually reinforcing.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2475,,
S2607374,D1.4.9-12,D1.4.9-12,"Explain how supporting questions contribute to an inquiry and how, through engaging source work, new compelling and supporting questions emerge.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2476,,
S2607374,D1.4.K-2,D1.4.K-2,"Make connections between supporting questions and compelling questions.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2477,,
S2607382,D1.5.3-5,D1.5.3-5,"Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration the different opinions people have about how to answer the questions.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2479,,
S2607382,D1.5.6-8,D1.5.6-8,"Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration multiple points of views represented in the sources.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2480,,
S2607382,D1.5.9-12,D1.5.9-12,"Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration multiple points of view represented in the sources, the types of sources available, and the potential uses of the sources.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2481,,
S2607382,D1.5.K-2,D1.5.K-2,"Determine the kinds of sources that will be helpful in answering compelling and supporting questions.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2482,,
S2607388,D2.Civ.1.3-5,D2.Civ.1.3-5,"Distinguish the responsibilities and powers of government officials at various levels and branches of government and in different times and places.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2175,,
S2607388,D2.Civ.1.6-8,D2.Civ.1.6-8,"Distinguish the powers and responsibilities of citizens, political parties, interest groups, and the media in a variety of governmental and nongovernmental contexts.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2176,,
S2607388,D2.Civ.1.9-12,D2.Civ.1.9-12,"Distinguish the powers and responsibilities of local, state, tribal, national, and international civic and political institutions.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2177,,
S2607388,D2.Civ.1.K-2,D2.Civ.1.K-2,"Describe roles and responsibilities of people in authority.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2178,,
S2607413,D2.Civ.10.3-5,D2.Civ.10.3-5,"Identify the beliefs, experiences, perspectives, and values that underlie their own and others' points of view about civic issues.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2200,,
S2607413,D2.Civ.10.6-8,D2.Civ.10.6-8,"Explain the relevance of personal interests and perspectives, civic virtues, and democratic principles when people address issues and problems in government and civil society.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2201,,
S2607413,D2.Civ.10.9-12,D2.Civ.10.9-12,"Analyze the impact and the appropriate roles of personal interests and perspectives on the application of civic virtues, democratic principles, constitutional rights, and human rights.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2202,,
S2607413,D2.Civ.10.K-2,D2.Civ.10.K-2,"Compare their own point of view with others' perspectives.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2203,,
S2607430,D2.Civ.11.3-5,D2.Civ.11.3-5,"Compare procedures for making decisions in a variety of settings, including classroom, school, government, and/or society.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2217,,
S2607430,D2.Civ.11.6-8,D2.Civ.11.6-8,"Differentiate among procedures for making decisions in the classroom, school, civil society, and local, state, and national government in terms of how civic purposes are intended.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2218,,
S2607430,D2.Civ.11.9-12,D2.Civ.11.9-12,"Evaluate multiple procedures for making governmental decisions at the local, state, national, and international levels in terms of the civic purposes achieved.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2219,,
S2607430,D2.Civ.11.K-2,D2.Civ.11.K-2,"Explain how people can work together to make decisions in the classroom.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2220,,
S2607430,D2.Civ.12.3-5,D2.Civ.12.3-5,"Explain how rules and laws change society and how people change rules and laws.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2221,,
S2607430,D2.Civ.12.6-8,D2.Civ.12.6-8,"Assess specific rules and laws (both actual and proposed) as means of addressing public problems.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2222,,
S2607430,D2.Civ.12.9-12,D2.Civ.12.9-12,"Analyze how people use and challenge local, state, national, and international laws to address a variety of public issues.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2223,,
S2607430,D2.Civ.12.K-2,D2.Civ.12.K-2,"Identify and explain how rules function in public (classroom and school) settings.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2224,,
S2607430,D2.Civ.13.3-5,D2.Civ.13.3-5,"Explain how policies are developed to address public problems.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2225,,
S2607430,D2.Civ.13.6-8,D2.Civ.13.6-8,"Analyze the purposes, implementation, and consequences of public policies in multiple settings.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2226,,
S2607430,D2.Civ.13.9-12,D2.Civ.13.9-12,"Evaluate public policies in terms of intended and unintended outcomes, and related consequences.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2227,,
S2607430,D2.Civ.13.K-2,D2.Civ.13.K-2,"Begins in grades 3–5<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2228,,
S2607430,D2.Civ.14.3-5,D2.Civ.14.3-5,"Illustrate historical and contemporary means of changing society.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2229,,
S2607430,D2.Civ.14.6-8,D2.Civ.14.6-8,"Compare historical and contemporary means of changing societies, and promoting the common good.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2230,,
S2607430,D2.Civ.14.9-12,D2.Civ.14.9-12,"Analyze historical, contemporary, and emerging means of changing societies, promoting the common good, and protecting rights.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2231,,
S2607430,D2.Civ.14.K-2,D2.Civ.14.K-2,"Describe how people have tried to improve their communities over time.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2232,,
S2607388,D2.Civ.2.3-5,D2.Civ.2.3-5,"Explain how a democracy relies on people's responsible participation, and draw implications for how individuals should participate.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2179,,
S2607388,D2.Civ.2.6-8,D2.Civ.2.6-8,"Explain specific roles played by citizens (such as voters, jurors, taxpayers, members of the armed forces, petitioners, protesters, and office-holders).<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2180,,
S2607388,D2.Civ.2.9-12,D2.Civ.2.9-12,"Analyze the role of citizens in the U.S. political system, with attention to various theories of democracy, changes in Americans' participation over time, and alternative models from other countries, past and present.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2181,,
S2607388,D2.Civ.2.K-2,D2.Civ.2.K-2,"Explain how all people, not just official leaders, play important roles in a community.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2182,,
S2607388,D2.Civ.3.3-5,D2.Civ.3.3-5,"Examine the origins and purposes of rules, laws, and key U.S. constitutional provisions.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2183,,
S2607388,D2.Civ.3.6-8,D2.Civ.3.6-8,"Examine the origins, purposes, and impact of constitutions, laws, treaties, and international agreements.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2184,,
S2607388,D2.Civ.3.9-12,D2.Civ.3.9-12,"Analyze the impact of constitutions, laws, treaties, and international agreements on the maintenance of national and international order.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2185,,
S2607388,D2.Civ.3.K-2,D2.Civ.3.K-2,"Explain the need for and purposes of rules in various settings inside and outside of school.<br/>Education Level: 2<br/>Subject: socialStudies",1,,,,0,null,,2186,,
S2607388,D2.Civ.4.3-5,D2.Civ.4.3-5,"Explain how groups of people make rules to create responsibilities and protect freedoms.<br/>Education Level: 5<br/>Subject: socialStudies",1,,,,0,null,,2187,,
S2607388,D2.Civ.4.6-8,D2.Civ.4.6-8,"Explain the powers and limits of the three branches of government, public officials, and bureaucracies at different levels in the United States and in other countries.<br/>Education Level: 8<br/>Subject: socialStudies",1,,,,0,null,,2188,,
S2607388,D2.Civ.4.9-12,D2.Civ.4.9-12,"Explain how the U.S. Constitution establishes a system of government that has powers, responsibilities, and limits that have changed over time and that are still contested.<br/>Education Level: 12<br/>Subject: socialStudies",1,,,,0,null,,2189,,
