"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"CS CD","Ciencias sociales. Competencias disciplinares.","<p style=""text-align:justify;font-family:'sans times';"">Las competencias disciplinares básicas de ciencias sociales están orientadas a la formación de ciudadanos reflexivos y participativos, conscientes de su ubicación en el tiempo y el espacio.<br />Dichas competencias enfatizan la formación de los estudiantes en una perspectiva plural y democrática. Su desarrollo implica que puedan interpretar su entorno social y cultural de manera crítica, a la vez que puedan valorar prácticas distintas a las suyas, y de este modo, asumir una actitud responsable hacia los demás.</p>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,1,"1. Identifica el conocimiento social y humanista.","<p style=""text-align:justify;font-family:'sans times';"">Identifica el conocimiento social y humanista como una construcción en constante transformación.</p>",1,,,,0,null,,85,,
,10,"10. Valora distintas prácticas sociales.","<p style=""text-align:justify;font-family:'sans times';"">Valora distintas prácticas sociales mediante el reconocimiento de sus significados dentro de un sistema cultural, con una actitud de respeto.</p>",1,,,,0,null,,94,,
,2,"2. Sitúa hechos históricos fundamentales.","<p style=""text-align:justify;font-family:'sans times';"">Sitúa hechos históricos fundamentales que han tenido lugar en distintas épocas en México y el mundo con relación al presente.</p>",1,,,,0,null,,86,,
,3,"3. Interpreta su realidad social.","<p style=""text-align:justify;font-family:'sans times';"">Interpreta su realidad social a partir de los procesos históricos locales, nacionales e internacionales que la han configurado.</p>",1,,,,0,null,,87,,
,4,"4. Valora las diferencias.","<p style=""text-align:justify;font-family:'sans times';"">Valora las diferencias sociales, políticas, económicas, étnicas, culturales y de género y las desigualdades que inducen.</p>",1,,,,0,null,,88,,
,5,"5. Establece la relación entre las dimensiones.","<p style=""text-align:justify;font-family:'sans times';"">Establece la relación entre las dimensiones políticas, económicas, culturales y geográficas de un acontecimiento.</p>",1,,,,0,null,,89,,
,6,"6. Analiza con visión emprendedora.","<p style=""text-align:justify;font-family:'sans times';"">Analiza con visión emprendedora los factores y elementos fundamentales que intervienen en la productividad y competitividad de una organización y su relación con el entorno socioeconómico.</p>",1,,,,0,null,,90,,
,7,"7. Evalúa las funciones de las leyes.","<p style=""text-align:justify;font-family:'sans times';"">Evalúa las funciones de las leyes y su transformación en el tiempo.</p>",1,,,,0,null,,91,,
,8,"8. Compara las características.","<p style=""text-align:justify;font-family:'sans times';"">Compara las características democráticas y autoritarias de diversos sistemas sociopolíticos.</p>",1,,,,0,null,,92,,
,9,"9. Analiza las funciones de las instituciones del Estado Mexicano.","<p style=""text-align:justify;font-family:'sans times';"">Analiza las funciones de las instituciones del Estado Mexicano y la manera en que impactan su vida.</p>",1,,,,0,null,,93,,
