"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"/2016/09/Science F-10","Science F-10",,1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency,competency"
80f32cf8-9b52-4855-8602-9e4600a2dbd2,0008e0a5-355f-4ed7-b7b2-9e4600a2dbd2,"Questioning and predicting","Questioning and predicting<br/>Education Level: 9<br/>Subject: S",1,,,,0,null,dffa88a9-59e3-4589-80f3-9e4600a2dbb1,8134,,
8f9b71a3-5656-4f85-86ad-9e4600a2dbd6,01040368-4cc6-4964-a399-9e4600a2dbd6,"Physical sciences","Physical sciences<br/>Education Level: 10<br/>Subject: S",1,,,,0,null,b115afa1-5f0c-4a3b-93ab-9e4600a2dbba,7470,,
290c879a-36bd-4fe9-bc4b-9e4600a2dbb1,02a3938b-3839-4fc7-9c3e-9e4600a2dbb1,"Science Inquiry Skills","<br/>Education Level: 3<br/>Subject: S",1,,,,0,null,941f264a-a3d1-4a03-871b-9e4600a2dbb1,7578,,
3db63ec0-deb4-4b3a-8ad1-9e4600a2dbac,056dba1f-62d0-4d7a-a368-9f7f00cca2d6,"Achievement Standard","By the end of Year 2, students describe changes to objects, materials and living things. They identify that certain materials and resources have different uses and describe examples of where science is used in people&rsquo;s daily lives.
Students pose and respond to questions about their experiences and predict outcomes of investigations. They use informal measurements to make and compare observations. They record and represent observations and communicate ideas in a variety of ways.<br/>Education Level: 2<br/>Subject: S",1,,,,0,null,,7513,,
290c879a-36bd-4fe9-bc4b-9e4600a2dbb1,0589f5c6-bd9b-4ce8-82f9-9e4600a2dbb1,"Science Understanding","<br/>Education Level: 3<br/>Subject: S",1,,,,0,null,8a704f6c-0271-488f-8db1-9e4600a2dba8,7609,,
dbd397c7-a122-4180-8851-9e4600a2dbcd,0736a4f7-e5aa-4a93-8082-9e4600a2dbcd,"Science Understanding","<br/>Education Level: 9<br/>Subject: S",1,,,,0,null,8a704f6c-0271-488f-8db1-9e4600a2dba8,8140,,
312d407d-a83a-48b7-a6ab-9e4600a2dbbf,08df0a6f-c11c-4666-b415-9e4600a2dbc8,"Earth and space sciences","Earth and space sciences<br/>Education Level: 7<br/>Subject: S",1,,,,0,null,5ab39111-56d1-4664-b6cb-9e4600a2dbb6,7945,,
9871b2cd-d6cd-4096-8210-9e4600a2dbb1,09104914-537e-42d9-8d4e-9e4600a2dbb1,"Nature and development  of science","Nature and development  of science<br/>Education Level: 3<br/>Subject: S",1,,,,0,null,d03c5e1d-1d83-46ff-817d-9e4600a2dbac,7634,,
163b6173-8e60-4eb4-bd89-9e4600a2dbd6,097409f8-30db-4414-88a0-9e4600a2dbdb,"Nature and development  of science","Nature and development  of science<br/>Education Level: 10<br/>Subject: S",1,,,,0,null,d03c5e1d-1d83-46ff-817d-9e4600a2dbac,7482,,
9541bcc0-4be5-4426-9f07-9e4600a2dbd6,0ad88c82-44d4-4a59-b23c-9e4600a2dbdb,"Science Inquiry Skills","<br/>Education Level: 10<br/>Subject: S",1,,,,0,null,941f264a-a3d1-4a03-871b-9e4600a2dbb1,7388,,
02a3938b-3839-4fc7-9c3e-9e4600a2dbb1,12451ec8-0f95-495a-b633-9e4600a2dbb1,"Planning and conducting","Planning and conducting<br/>Education Level: 3<br/>Subject: S",1,,,,0,null,d28825a3-3bba-4566-aa5d-9e4600a2dbb1,7588,,
80f32cf8-9b52-4855-8602-9e4600a2dbd2,15c5312f-e13d-4eec-b55d-9e4600a2dbd6,Communicating,"Communicating<br/>Education Level: 9<br/>Subject: S",1,,,,0,null,d5a9534a-617c-48db-8a57-9e4600a2dbb6,8102,,
80f32cf8-9b52-4855-8602-9e4600a2dbd2,160eead4-02fb-407a-9fd7-9e4600a2dbd2,"Planning and conducting","Planning and conducting<br/>Education Level: 9<br/>Subject: S",1,,,,0,null,d28825a3-3bba-4566-aa5d-9e4600a2dbb1,8115,,
9541bcc0-4be5-4426-9f07-9e4600a2dbd6,163b6173-8e60-4eb4-bd89-9e4600a2dbd6,"Science as a Human Endeavour","<br/>Education Level: 10<br/>Subject: S",1,,,,0,null,a171ccb0-9c61-43c8-80d6-9e4600a2dba8,7481,,
ebbd3e10-473b-490c-a8ab-9e4600a2dba8,16b4f4d1-c901-4b18-ac29-9e4600a2dbac,"Chemical sciences","Chemical sciences<br/>Education Level: 1<br/>Subject: S",1,,,,0,null,e4d78b0e-387c-4310-92f2-9e4600a2dbac,7359,,
a5fc6487-481a-41e6-acd6-9e4600a2dbb6,17044513-dbca-4706-b156-9e4600a2dbe5,"Planning and conducting","Planning and conducting<br/>Education Level: 5<br/>Subject: S",1,,,,0,null,d28825a3-3bba-4566-aa5d-9e4600a2dbb1,7733,,
0ad88c82-44d4-4a59-b23c-9e4600a2dbdb,17239cc9-4b5d-4a86-84db-9e4600a2dbdb,"Planning and conducting","Planning and conducting<br/>Education Level: 10<br/>Subject: S",1,,,,0,null,d28825a3-3bba-4566-aa5d-9e4600a2dbb1,7404,,
163b6173-8e60-4eb4-bd89-9e4600a2dbd6,19206ef5-6fb4-45b1-a2b3-9e4600a2dbdb,"Use and influence of science","Use and influence of science<br/>Education Level: 10<br/>Subject: S",1,,,,0,null,89f1169d-129f-4c95-b818-9e4600a2dbb1,7495,,
ecb1846b-2bc1-41a9-ba94-9e4600a2dbc4,1b7084b6-cb6f-4ccf-9dee-9e4600a2dbc4,Evaluating,"Evaluating<br/>Education Level: 7<br/>Subject: S",1,,,,0,null,6bf1a126-36c7-4511-92ba-9e4600a2dbb1,7890,,
a4b694ec-6bcc-49e4-b0da-9e4600a2dbcd,1c9208ab-9129-4211-8283-9e4600a2dbcd,"Use and influence of science","Use and influence of science<br/>Education Level: 9<br/>Subject: S",1,,,,0,null,89f1169d-129f-4c95-b818-9e4600a2dbb1,8197,,
b7ee22a7-e147-44b4-be56-9e4600a2dbba,1efd8a6d-5064-4cdb-a185-9f7f00cca43b,"Achievement Standard","By the end of Year 6, students compare and classify different types of observable changes to materials. They analyse requirements for the transfer of electricity and describe how energy can be transformed from one form to another when generating electricity. They explain how natural events cause rapid change to Earth&rsquo;s surface. They describe and predict the effect of environmental changes on individual living things. Students explain how scientific knowledge helps us to solve problems and inform decisions and identify historical and cultural contributions.
Students follow procedures to develop investigable questions and design investigations into simple cause-and-effect relationships. They identify variables to be changed and measured and describe potential safety risks when planning methods. They collect, organise and interpret their data, identifying where improvements to their methods or research could improve the data. They describe and analyse relationships in data using appropriate representations and construct multimodal texts to communicate ideas, methods and findings.<br/>Education Level: 6<br/>Subject: S",1,,,,0,null,,7799,,
4b17c7ac-6eb8-4729-bed6-9e4600a2dbb6,2224e8c8-5ff8-44ae-b391-9e4600a2dbb6,"Science Understanding","<br/>Education Level: 5<br/>Subject: S",1,,,,0,null,8a704f6c-0271-488f-8db1-9e4600a2dba8,7755,,
9897acbc-2e73-4185-a8fd-9e4600a2dbac,23ff4aef-c190-4b00-8826-9e4600a2dbb1,"Use and influence of science","Use and influence of science<br/>Education Level: 2<br/>Subject: S",1,,,,0,null,89f1169d-129f-4c95-b818-9e4600a2dbb1,7569,,
f309c40c-a9e6-47ca-86c3-9e4600a2dbbf,243f8e42-f106-46dc-8760-9e4600a2dbbf,"Science as a Human Endeavour","<br/>Education Level: 7<br/>Subject: S",1,,,,0,null,a171ccb0-9c61-43c8-80d6-9e4600a2dba8,7965,,
ebbd3e10-473b-490c-a8ab-9e4600a2dba8,25070342-32d1-4fc9-9d81-9e4600a2dbba,"Physical sciences","Physical sciences<br/>Education Level: 1<br/>Subject: S",1,,,,0,null,b115afa1-5f0c-4a3b-93ab-9e4600a2dbba,7367,,
96e7927b-e7f6-4cc7-a5c7-9e4600a2dbbf,27f4d1b4-c12f-471f-9210-9e4600a2dbbf,"Processing and analysing data and information","Processing and analysing data and information<br/>Education Level: 6<br/>Subject: S",1,,,,0,null,f280aaa1-2b83-4a2a-aa18-9e4600a2dbb1,7818,,
f8f14d77-5c7d-40cc-ba00-9e4600a2dbb1,28140ded-c7b1-4b2e-9a31-9e4600a2dbb1,"Planning and conducting","Planning and conducting<br/>Subject: S",1,,,,0,null,d28825a3-3bba-4566-aa5d-9e4600a2dbb1,7268,,
,290c879a-36bd-4fe9-bc4b-9e4600a2dbb1,"Year 3","The science inquiry skills and science as a human endeavour strands are described across a two-year band. In their planning, schools and teachers refer to the expectations outlined in the achievement standard and also to the content of the science understanding strand for the relevant year level to ensure that these two strands are addressed over the two-year period. The three strands of the curriculum are interrelated and their content is taught in an integrated way. The order and detail in which the content descriptions are organised into teaching and learning programs are decisions to be made by the teacher.
Incorporating the key ideas of science 
Over Years 3 to 6, students develop their understanding of a range of systems operating at different time and geographic scales.
In Year 3, students observe heat and its effects on solids and liquids and begin to develop an understanding of energy flows through simple systems. In observing day and night, they develop an appreciation of regular and predictable cycles. Students order their observations by grouping and classifying; in classifying things as living or non-living they begin to recognise that classifications are not always easy to define or apply. They begin to quantify their observations to enable comparison, and learn more sophisticated ways of identifying and representing relationships, including the use of tables and graphs to identify trends. They use their understanding of relationships between components of simple systems to make predictions.<br/>Education Level: 3<br/>Subject: S",1,,,,0,null,,7576,,
6ad84110-05d9-480a-bc48-9e4600a2dbb6,2ab56c9d-d906-4e6f-aef4-9e4600a2dbba,"Chemical sciences","Chemical sciences<br/>Education Level: 4<br/>Subject: S",1,,,,0,null,e4d78b0e-387c-4310-92f2-9e4600a2dbac,7691,,
96e7927b-e7f6-4cc7-a5c7-9e4600a2dbbf,2ec0c1d7-4cb1-4f8e-b728-9e4600a2dbbf,"Questioning and predicting","Questioning and predicting<br/>Education Level: 6<br/>Subject: S",1,,,,0,null,dffa88a9-59e3-4589-80f3-9e4600a2dbb1,7826,,
96e7927b-e7f6-4cc7-a5c7-9e4600a2dbbf,2f82c835-0f39-40ee-8571-9e4600a2dbbf,"Planning and conducting","Planning and conducting<br/>Education Level: 6<br/>Subject: S",1,,,,0,null,d28825a3-3bba-4566-aa5d-9e4600a2dbb1,7809,,
0ad88c82-44d4-4a59-b23c-9e4600a2dbdb,2f94dcf7-0a54-458c-8406-9e4600a2dbdb,"Processing and analysing data and information","Processing and analysing data and information<br/>Education Level: 10<br/>Subject: S",1,,,,0,null,f280aaa1-2b83-4a2a-aa18-9e4600a2dbb1,7416,,
97277d12-34b0-4db0-921f-9e4600a2dbb1,30c1ab36-bbee-4094-a8c8-9e4600a2dbb1,"Use and influence of science","Use and influence of science<br/>Education Level: 4<br/>Subject: S",1,,,,0,null,89f1169d-129f-4c95-b818-9e4600a2dbb1,7716,,
f309c40c-a9e6-47ca-86c3-9e4600a2dbbf,312d407d-a83a-48b7-a6ab-9e4600a2dbbf,"Science Understanding","<br/>Education Level: 7<br/>Subject: S",1,,,,0,null,8a704f6c-0271-488f-8db1-9e4600a2dba8,7922,,
751785f3-754d-496c-95a8-9e4600a2dbc8,31cfc279-b2d4-4ecb-8e85-9e4600a2dbcd,"Chemical sciences","Chemical sciences<br/>Education Level: 8<br/>Subject: S",1,,,,0,null,e4d78b0e-387c-4310-92f2-9e4600a2dbac,8044,,
751785f3-754d-496c-95a8-9e4600a2dbc8,31f49861-308a-4851-92f5-9e4600a2dbcd,"Earth and space sciences","Earth and space sciences<br/>Education Level: 8<br/>Subject: S",1,,,,0,null,5ab39111-56d1-4664-b6cb-9e4600a2dbb6,8058,,
9897acbc-2e73-4185-a8fd-9e4600a2dbac,3319f107-3afe-453c-8333-9e4600a2dbac,"Nature and development  of science","Nature and development  of science<br/>Education Level: 2<br/>Subject: S",1,,,,0,null,d03c5e1d-1d83-46ff-817d-9e4600a2dbac,7564,,
2224e8c8-5ff8-44ae-b391-9e4600a2dbb6,33fe79d8-56bc-4c0d-ad96-9e4600a2dbb6,"Earth and space sciences","Earth and space sciences<br/>Education Level: 5<br/>Subject: S",1,,,,0,null,5ab39111-56d1-4664-b6cb-9e4600a2dbb6,7767,,
2224e8c8-5ff8-44ae-b391-9e4600a2dbb6,366963d1-41d8-4e50-b84f-9e4600a2dbb6,"Chemical sciences","Chemical sciences<br/>Education Level: 5<br/>Subject: S",1,,,,0,null,e4d78b0e-387c-4310-92f2-9e4600a2dbac,7761,,
c483fd09-657f-4cb0-b591-9e4600a2dbb1,3813f103-7061-4fa7-8d98-9e4600a2dbb6,Communicating,"Communicating<br/>Education Level: 1<br/>Subject: S",1,,,,0,null,d5a9534a-617c-48db-8a57-9e4600a2dbb6,7323,,
02a3938b-3839-4fc7-9c3e-9e4600a2dbb1,3857661c-03b4-472f-95b9-9e4600a2dbb6,Communicating,"Communicating<br/>Education Level: 3<br/>Subject: S",1,,,,0,null,d5a9534a-617c-48db-8a57-9e4600a2dbb6,7579,,
c483fd09-657f-4cb0-b591-9e4600a2dbb1,38d83073-952d-47f7-8a93-9e4600a2dbb1,"Processing and analysing data and information","Processing and analysing data and information<br/>Education Level: 1<br/>Subject: S",1,,,,0,null,f280aaa1-2b83-4a2a-aa18-9e4600a2dbb1,7338,,
d5e295d3-6f97-4357-bb02-9e4600a2dbba,38febb0b-9eb4-4e60-95f9-9e4600a2dbba,"Use and influence of science","Use and influence of science<br/>Education Level: 6<br/>Subject: S",1,,,,0,null,89f1169d-129f-4c95-b818-9e4600a2dbb1,7872,,
9046ca5e-e2b6-460b-838a-9e4600a2dba8,390e0651-b83a-425e-9ef0-9e4600a2dbb1,"Use and influence of science","Use and influence of science<br/>Education Level: 1<br/>Subject: S",1,,,,0,null,89f1169d-129f-4c95-b818-9e4600a2dbb1,7379,,
2224e8c8-5ff8-44ae-b391-9e4600a2dbb6,397953bf-0c20-4469-b690-9e4600a2dbba,"Physical sciences","Physical sciences<br/>Education Level: 5<br/>Subject: S",1,,,,0,null,b115afa1-5f0c-4a3b-93ab-9e4600a2dbba,7772,,
a5fc6487-481a-41e6-acd6-9e4600a2dbb6,3a755b0d-f1de-4182-9cb6-9e4600a2dbe9,"Processing and analysing data and information","Processing and analysing data and information<br/>Education Level: 5<br/>Subject: S",1,,,,0,null,f280aaa1-2b83-4a2a-aa18-9e4600a2dbb1,7744,,
,3db63ec0-deb4-4b3a-8ad1-9e4600a2dbac,"Year 2","The science inquiry skills and science as a human endeavour strands are described across a two-year band. In their planning, schools and teachers refer to the expectations outlined in the achievement standard and also to the content of the science understanding strand for the relevant year level to ensure that these two strands are addressed over the two-year period. The three strands of the curriculum are interrelated and their content is taught in an integrated way. The order and detail in which the content descriptions are organised into teaching and learning programs are decisions to be made by the teacher.
Incorporating the key ideas of science 
From Foundation to Year 2, students learn that observations can be organised to reveal patterns, and that these patterns can be used to make predictions about phenomena.
In Year 2, students describe the components of simple systems, such as stationary objects subjected to pushes or pulls, or combinations of materials, and show how objects and materials interact through direct manipulation. They observe patterns of growth and change in living things, and describe patterns and make predictions. They explore the use of resources from Earth and are introduced to the idea of the flow of matter when considering how water is used. They use counting and informal measurements to make and compare observations and begin to recognise that organising these observations in tables makes it easier to show patterns.<br/>Education Level: 2<br/>Subject: S",1,,,,0,null,,7512,,
e4eebe28-e772-453d-a2bd-9e4600a2dbe5,3f3e91f0-dc3e-4a4e-8a69-9e4600a2dbe5,"Use and influence of science","Use and influence of science<br/>Education Level: 5<br/>Subject: S",1,,,,0,null,89f1169d-129f-4c95-b818-9e4600a2dbb1,7789,,
0ad88c82-44d4-4a59-b23c-9e4600a2dbdb,40aaf6ce-2301-4053-9f1f-9e4600a2dbdb,"Questioning and predicting","Questioning and predicting<br/>Education Level: 10<br/>Subject: S",1,,,,0,null,dffa88a9-59e3-4589-80f3-9e4600a2dbb1,7424,,
