"Número ID paterno","Número ID",Nombre_corto,Descripción,"Formato de descripción","Valores de escala","Configuración de escala","Tipo de regla (opcional)","Resultado de regla (opcional)","Configuración de regla (opcional)","Número ID de competencia referenciado cruzado","ID de exportación (opcional)","Estructura Is",Taxonomía
,"Com CD","Comunicación. Competencias disciplinares.","<p style=""text-align:justify;font-family:'sans times';"">Las competencias disciplinares básicas de comunicación están referidas a la capacidad de los estudiantes de comunicarse efectivamente en el español y en lo esencial en una segunda lengua en diversos contextos, mediante el uso de distintos medios e instrumentos.<br />Los estudiantes que hayan desarrollado estas competencias podrán leer críticamente y comunicar y argumentar ideas de manera efectiva y con claridad oralmente y por escrito. Además, usarán las tecnologías de la información y la comunicación de manera crítica para diversos propósitos comunicativos.<br />Las competencias de comunicación están orientadas además a la reflexión sobre la naturaleza del lenguaje y a su uso como herramienta del pensamiento lógico.</p>",1,"Aun no competente,Competente","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,1,"1. Identifica, ordena e interpreta.","<p style=""text-align:justify;font-family:'sans times';"">Identifica, ordena e interpreta las ideas, datos y conceptos explícitos e implícitos en un texto, considerando el contexto en el que se generó y en el que se recibe.</p>",1,,,,0,null,,95,,
,10,"10. Identifica e interpreta.","<p style=""text-align:justify;font-family:'sans times';"">Identifica e interpreta la idea general y posible desarrollo de un mensaje oral o escrito en una segunda lengua, recurriendo a conocimientos previos, elementos no verbales y contexto cultural.</p>",1,,,,0,null,,104,,
,11,"11. Se comunica en una lengua extranjera.","<p style=""text-align:justify;font-family:'sans times';"">Se comunica en una lengua extranjera mediante un discurso lógico, oral o escrito, congruente con la situación comunicativa.</p>",1,,,,0,null,,105,,
,12,"12. Utiliza las tecnologías de la información y comunicación.","<p style=""text-align:justify;font-family:'sans times';"">Utiliza las tecnologías de la información y comunicación para investigar, resolver problemas, producir materiales y transmitir información.</p>",1,,,,0,null,,106,,
,2,"2. Evalúa un texto.","<p style=""text-align:justify;font-family:'sans times';"">Evalúa un texto mediante la comparación de su contenido con el de otros, en función de sus conocimientos previos y nuevos.</p>",1,,,,0,null,,96,,
,3,"3. Plantea supuestos sobre los fenómenos.","<p style=""text-align:justify;font-family:'sans times';"">Plantea supuestos sobre los fenómenos naturales y culturales de su entorno con base en la consulta de diversas fuentes.</p>",1,,,,0,null,,97,,
,4,"4. Produce textos.","<p style=""text-align:justify;font-family:'sans times';"">Produce textos con base en el uso normativo de la lengua, considerando la intención y situación comunicativa.</p>",1,,,,0,null,,98,,
,5,"5. Expresa ideas y conceptos.","<p style=""text-align:justify;font-family:'sans times';"">Expresa ideas y conceptos en composiciones coherentes y creativas, con introducciones, desarrollo y conclusiones claras.</p>",1,,,,0,null,,99,,
,6,"6. Argumenta un punto de vista.","<p style=""text-align:justify;font-family:'sans times';"">Argumenta un punto de vista en público de manera precisa, coherente y creativa.</p>",1,,,,0,null,,100,,
,7,"7. Valora y describe.","<p style=""text-align:justify;font-family:'sans times';"">Valora y describe el papel del arte, la literatura y los medios de comunicación en la recreación o la transformación de una cultura, teniendo en cuenta los propósitos comunicativos de distintos géneros.</p>",1,,,,0,null,,101,,
,8,"8. Valora el pensamiento lógico.","<p style=""text-align:justify;font-family:'sans times';"">Valora el pensamiento lógico en el proceso comunicativo en su vida cotidiana y académica.</p>",1,,,,0,null,,102,,
,9,"9. Analiza y compara.","<p style=""text-align:justify;font-family:'sans times';"">Analiza y compara el origen, desarrollo y diversidad de los sistemas y medios de comunicación.</p>",1,,,,0,null,,103,,
