"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,WNCP--PREC12,"WNCP Pre-Calculus 12 (2008)","<p>The Western Canadian Protocol (WCP) for Collaboration in Basic Education Kindergarten to Grade 12 was signed in December 1993 by the Ministers of Education from Alberta, British Columbia, Manitoba, Northwest Territories, Saskatchewan and Yukon Territory. In February 2000, following the addition of Nunavut, the protocol was renamed the Western and Northern Canadian Protocol (WNCP) for Collaboration in Basic Education (Kindergarten to Grade 12).</p><p>This pathway is designed to provide students with the mathematical understandings and critical-thinking skills identified for entry into post-secondary programs that require the study of theoretical calculus. Topics include binomial theorem, combinations, permutations relations and functions and trigonometry . The seven mathematical process (communication, connections, mental mathematics and estimation, problem solving, technology and visualization) are interwoven throughout the mathematical topics.<br /></p><p>The Common Curriculum Framework for Grades 10–12 Mathematics: Western and Northern Canadian Protocol was developed by the seven ministries of education in collaboration with teachers, administrators, parents, business representatives, post-secondary educators and others. The framework identifies beliefs about mathematics learning and teaching, general and specific outcomes, and achievement indicators agreed upon by the seven jurisdictions.</p>
<p>(<em>Please note that set of indicators under each outcome <strong>may</strong> be used to determine whether students have met the corresponding outcome.</em>)</p>
<p>http://www.wncp.ca/english/subjectarea/mathematics/ccf.aspx<br />http://www.wncp.ca/media/38771/math10to12.pdf</p>
<p>(TeX notation filter was used to render math.)</p>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"domain,concept,outcome,indicator"
,PREC12,"Pre-calculus 12","<p>Topics include binomial theorem, combinations, permutations relations and functions and trigonometry.<br /></p>",1,,,,0,null,,1629,,
PREC12,PREC12-A,Trigonometry,"<p>General Outcome: Develop trigonometric reasoning.<br /></p>",1,,,,0,null,,1630,,
PREC12-A,PREC12-A1,"A1 Demonstrate an understanding of angles in standard position, expressed in degrees and radians.","<p>Demonstrate an understanding of angles in standard
position, expressed in degrees and radians.<br /></p>",1,,,,0,null,"WNCP--M[CN],WNCP--M[ME],WNCP--M[R],WNCP--M[V]",1631,,
PREC12-A1,PREC12-A1.1,"1.1 Sketch, in standard position, an angle (positive or negative) when the measure is given in...","<p>Sketch, in standard position, an angle (positive or negative) when the measure is given in
degrees.<br /></p>",1,,,,0,null,,1632,,
PREC12-A1,PREC12-A1.2,"1.2 Describe the relationship among different systems of angle measurement, with emphasis on...","<p>Describe the relationship among different systems of angle measurement, with emphasis on
radians and degrees.<br /></p>",1,,,,0,null,,1633,,
PREC12-A1,PREC12-A1.3,"1.3 Sketch, in standard position, an angle with a measure of 1 radian. ","<p>Sketch, in standard position, an angle with a measure of 1 radian.<br /></p>",1,,,,0,null,,1634,,
PREC12-A1,PREC12-A1.4,"1.4 Sketch, in standard position, an angle with a measure expressed in the form kπ radians, where..","<p>Sketch, in standard position, an angle with a measure expressed in the form <i>kπ</i> radians,
where <i>k </i>∈<i>ℚ</i> .<br /></p>",1,,,,0,null,,1635,,
PREC12-A1,PREC12-A1.5,"1.5 Express the measure of an angle in radians (exact value or decimal approximation), given its...","<p>Express the measure of an angle in radians (exact value or decimal approximation), given its
measure in degrees.<br /></p>",1,,,,0,null,,1636,,
PREC12-A1,PREC12-A1.6,"1.6 Express the measure of an angle in degrees, given its measure in radians (exact value or...","<p>Express the measure of an angle in degrees, given its measure in radians (exact value or
decimal approximation).<br /></p>",1,,,,0,null,,1637,,
PREC12-A1,PREC12-A1.7,"1.7 Determine the measures, in degrees or radians, of all angles in a given domain that are...","<p>Determine the measures, in degrees or radians, of all angles in a given domain that are
coterminal with a given angle in standard position.<br /></p>",1,,,,0,null,,1638,,
PREC12-A1,PREC12-A1.8,"1.8 Determine the general form of the measures, in degrees or radians, of all angles that are...","<p>Determine the general form of the measures, in degrees or radians, of all angles that are
coterminal with a given angle in standard position.<br /></p>",1,,,,0,null,,1639,,
PREC12-A1,PREC12-A1.9,"1.9 Explain the relationship between the radian measure of an angle in standard position and the...","<p>Explain the relationship between the radian measure of an angle in standard position and the
length of the arc cut on a circle of radius <i>r</i>, and solve problems based upon that relationship.<br /></p>",1,,,,0,null,,1640,,
