"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"2016/09/English F-10","English F-10",,1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency,competency"
,011faef9-cb1c-4142-a14c-9e4600a2a3a0,Literature,"Literature<br/>Education Level: 10<br/>Subject: E",1,,,,0,null,"4ed50b3c-0042-4424-a07f-9e4600a2a3a0,5bc23402-0515-41de-af8d-9e4600a2a3a0,3a6d0653-531e-48cb-85f6-9e4600a2a3f4,146e932e-d591-43a2-81ee-9e4600a2a3a0,5b5f3eed-4d1d-4582-af6d-9e4600a2a3a4,7493e234-b715-4db7-b650-9e4600a2a3bc,2d2b7646-d99d-49d8-af90-9e4600a2a3c5,101da1b4-5661-4633-ad79-9e4600a2a3ca,e326b7e3-5727-4420-b27e-9e4600a2a3d3,cabdd600-3d4a-4744-bf44-9e4600a2a3dd,b83aa1fd-020a-4d0d-b170-9e4600a2a3eb",5070,,
65f64c68-7ea0-453b-b62a-9e4600a2a3b2,01a48985-2a0e-4038-b93c-9e4600a2a3b2,Literacy,"Literacy<br/>Education Level: 3<br/>Subject: E",1,,,,0,null,65c5cd71-c997-4461-8032-9e4600a2a3a4,5615,,
f9f7cb6f-3245-4b07-b3f4-9e4600a2a3a4,0263b172-6267-45e9-80cf-9e4600a2a3a9,"Interacting with others","Interacting with others<br/>Education Level: 10<br/>Subject: E",1,,,,0,null,"9dd30090-0266-40c3-8270-9e4600a2a3a9,ef7ce38d-5fc3-461d-bf03-9e4600a2a3a9,31c3b819-edea-4096-92c6-9e4600a2a3f9,de5423fe-e75a-4523-8c17-9e4600a2a3a9,806dce51-5a30-420e-8ecf-9e4600a2a3fd,8e02ba76-93c9-468a-b328-9e4600a2a3c0,c81eb2c1-fb26-4fab-a736-9e4600a2a3ca,d3ba18a8-9893-4d1a-915e-9e4600a2a3cf,cf3188c2-f98d-4295-8a85-9e4600a2a3d8,909e45cb-e64b-4e83-b01f-9e4600a2a3eb,5c47eb56-a156-487a-bcb6-9e4600a2a3f4",5067,,
3a6d0653-531e-48cb-85f6-9e4600a2a3f4,0436df44-6658-40bb-91be-9e4600a2a3f9,"Responding to literature","Responding to literature<br/>Education Level: 10<br/>Subject: E",1,,,,0,null,bf744513-891c-46c9-a19e-9e4600a2a3a0,5312,,
be28db83-cfbb-4c04-9aa1-9e4600a2a39b,056d79a3-8c99-4854-9b65-9e4600a2a3a4,"Text structure and organisation","Text structure and organisation<br/>Education Level: 2<br/>Subject: E",1,,,,0,null,a353d1e7-6eb4-4a53-ae29-9e4600a2a39b,5376,,
e6446eeb-1156-499e-9dc6-9e4600a2a3f4,0617c049-2fff-402f-b993-9e4600a2a3f4,Language,"Language<br/>Education Level: 10<br/>Subject: E",1,,,,0,null,4137c3be-0626-4866-a3b3-9e4600a2a3f4,5338,,
6b11f3da-26b9-4714-8740-9e4600a2a3d3,0732e74b-14d8-4739-a7ce-9e4600a2a3d3,"Reading and viewing","Reading and viewing<br/>Education Level: 7<br/>Subject: E",1,,,,0,null,ddb8409f-d43f-4f54-b6c3-9e4600a2a39b,6084,,
146e932e-d591-43a2-81ee-9e4600a2a3a0,07a27c81-800c-40f9-a170-9e4600a2a3a4,"Creating literature","Creating literature<br/>Education Level: 2<br/>Subject: E",1,,,,0,null,"44f1c876-b4ef-4e43-a1c1-9e4600a2a3a4,ACELT1593",5430,,
e326b7e3-5727-4420-b27e-9e4600a2a3d3,08382d0c-ec11-43c0-85fe-9e4600a2a3d3,"Responding to literature","Responding to literature<br/>Education Level: 7<br/>Subject: E",1,,,,0,null,bf744513-891c-46c9-a19e-9e4600a2a3a0,6075,,
