"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"/2016/09/Work Studies F-10","Work Studies F-10",,1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency,competency"
dc72b080-7699-4f5f-93b7-b3327091804e,017e2764-fe93-4d9f-ba92-99c2e44dc8c4,"Gaining and keeping work","Gaining and keeping work<br/>Education Level: 9<br/>Subject: W",1,,,,0,null,4f86ef7c-0bca-4aea-99e7-8e0ba9836247,12840,,
,07f20427-6d28-4c67-a23b-a0a345db7d4f,"Option 1: School–industry cooperative project","Option 1: School–industry cooperative project<br/>Education Level: 10<br/>Subject: W",1,,,,0,null,,12895,,
67ae1cff-a747-468d-8fa7-24ddacaba873,0b8cd815-bf75-42fe-9c07-cab8e70b341c,"Career and life design","<br/>Education Level: 10<br/>Subject: W",1,,,,0,null,"d19bb2b8-afa4-44d1-bca2-2c52ba2f1657,32293498-d183-4a0c-8cf2-db238d1193b2,6611ab5b-1999-450d-9dd3-67080442f8da,b265f911-af8b-44be-9a90-a03328da2c61",13079,,
,1461efe9-0edc-4d45-837b-22baac8e9c78,"Option 5: Gender and work","Option 5: Gender and work<br/>Education Level: 10<br/>Subject: W",1,,,,0,null,,12950,,
4836bde8-42cf-40ba-924b-523712ea4f10,1c468066-3ec1-4013-af6f-742dffe92877,"The nature of work","The nature of work<br/>Education Level: 9<br/>Subject: W",1,,,,0,null,4f86ef7c-0bca-4aea-99e7-8e0ba9836247,12869,,
,1e64defb-e5b3-4696-9c95-84a0ccb80cd5,"Option 3: Cross-cultural enterprise","Option 3: Cross-cultural enterprise<br/>Education Level: 10<br/>Subject: W",1,,,,0,null,,12923,,
ba4d1444-b3af-4543-88f6-9bd042236fbc,32293498-d183-4a0c-8cf2-db238d1193b2,"Career development and management","Career development and management<br/>Education Level: 10<br/>Subject: W",1,,,,0,null,0b8cd815-bf75-42fe-9c07-cab8e70b341c,12816,,
67ae1cff-a747-468d-8fa7-24ddacaba873,3bceb2ea-d5e9-4bdf-aa90-6d5e1a5668ee,"Achievement standard","By the end of Year 10 students explain the relationship between changing circumstances, learning and 21st century work opportunities and identify the skills needed to manage changes. They evaluate work-related communication tools and analyse the skills and capacities needed for 21st century work including appropriate communication skills, collaboration and teamwork. Students explain the importance of developing entrepreneurial skills and a distinct profile to access and manage 21st century work opportunities and challenges. Students understand the importance of growing self-awareness in improving learning, accessing work opportunities and developing appropriate skills and making more-informed subject and career choices. They analyse emerging 21st century work arrangements and the resultant changing relationships between participants, the opportunities arising and the skills needed for these emerging work arrangements. Students explain the roles of agencies associated with employment support. They outline 21st century approaches to recruitment and selection, and skills required in responding to them. Students explain the benefits of different cultural perspectives in managing work and problem-solving. They identify possible tensions arising in work-related contexts and understand the approaches to resolve conflicts and tensions.
      Students process the skills required to manage change and transition. They select learning strategies and career information and sources and evaluate and align their personal capacities. They select and apply appropriate communication methods in a range of contexts. Students form and work in teams on a range of work-related tasks and observe and incorporate the skills needed to work collaboratively. They apply entrepreneurial skills to plan, implement and complete a negotiated action project. Students evaluate their findings, propose actions, make recommendations and present these to an audience of stakeholders. They synthesise increased self-knowledge and career information to school and career-based decisions and create potential career scenarios. Students research a range of information and data to identify trends in work arrangements emerging over time and evaluate agencies and organisations that support various employment situations. Students practise using and responding to 21st century recruitment and selection tools, methods and skills for accessing real and created work opportunities. Students collect and interpret information on different cultural approaches to ways of working. They explain the importance of culturally diverse workplaces to managing work, work relationships and productivity. Students apply conflict resolution methods and skills to work-related contexts.<br/>Education Level: 10<br/>Subject: W",1,,,,0,null,,13078,,
e950f341-1ebf-425a-b411-29c601241857,430a36c8-1910-4b33-a519-48b12d895fb3,"Option 4: Aboriginal and Torres Strait Islander Peoples and work","Overview
      
      Students explore the contribution of Aboriginal and Torres Strait Islander Peoples to work and investigate achievements and challenges overcome. They identify the opportunities presented through developing a greater understanding of Aboriginal and Torres Strait Islander cultures and histories regarding work and work-related practices.<br/>Education Level: 10<br/>Subject: W",1,,,,0,null,e228bec2-1851-440c-a85a-e2477a31a09c,12937,,
d19bb2b8-afa4-44d1-bca2-2c52ba2f1657,4836bde8-42cf-40ba-924b-523712ea4f10,"The nature of work","The nature of work<br/>Education Level: 10<br/>Subject: W",1,,,,0,null,,12868,,
67ae1cff-a747-468d-8fa7-24ddacaba873,494db113-ae49-48a4-81d3-348f23973c04,"Skills for learning and work","<br/>Education Level: 10<br/>Subject: W",1,,,,0,null,"cd0e6b16-70a3-42c8-8fc0-050615b03454,bb2103ee-3a2d-4de3-8ca9-1e0565d6ef37,d60b576d-2eb2-47f3-9c7f-de8a45d26d79,aab55735-2ab7-48c8-9f6d-ee782fb5fefa",13080,,
