"ID de la compétence parente",ID,"Nom abrégé",Description,"Format de description","Valeurs du barème","configuration du barème","Type de règle de compétence (optionnelle)","Règle d'objectif (optionnelle)","Règle de paramétrage (optionnelle)","IDs des compétences croisées associées","ID d'exportation (optionnel)","Est un référentiel",Taxonomie
,CAP_IFCA,"CAP IFCA","Certificat d'Aptitude Professionnelle - Installateur en Froid et Conditionnement d'Air",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency"
,C1,"C1 - COMMUNIQUER",,1,,,,0,null,,1,,
C1,C1.1,"C1.1 - Renseigner, transmettre",,1,,,,0,null,,2,,
C1.1,C1.1-1,"C1.1-1 - Lire, comprendre e t interpréter des  documents","<p></p><div data-canvas-width=""57.9784""><p><b>CONDITIONS</b><br></p><p>- une consigne de travail, <br></p><p>- un bon de livraison,</p><p>- un schéma, <br></p><p>- un plan, <br></p><p>- une notice technique constructeur (en langue française ou en anglais),</p><p>- un lexique franco-anglais.</p><p><br></p></div><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p><b></b><br></p><p>Le document, la consigne et leur finalité sont  compris et respectés en français et en anglais. <br></p><p>L’ensemble des termes du lexique franco-anglais sont connus.</p><br><p></p>",1,,,,0,null,,30,,
C1.1,C1.1-2,"C1.1-2 - Compléter des documents","<p><b>CONDITIONS</b></p><p><b><br></b></p><p>Sous forme de, soit:<b><br></b></p><p>-&gt;&nbsp; supports manuscrits, <br></p><p>-&gt; supports numériques,</p><p><br></p><p>- documents de suivi d'intervention, <br></p><p>- fiches d'auto contrôle, <br></p><p>- documents liés aux réglementations en vigueur, ...<br></p><div data-canvas-width=""114.35599999999998""><br><br><b>CRITÈRES D’ÉVALUATION</b><br><br>Tous les documents proposés sont complétés d'une manière claire et exhaustive<br><br></div><br><p></p><p><br></p>",1,,,,0,null,,31,,
C1.1,C1.1-3,"C1.1-3 - Schématiser une installation  fluidique, hydraulique ou aéraulique,  ou dessiner une partie","<p><b>CONDITIONS</b></p><p><b><br></b></p><p>- une installation, <br></p><p>- les plans, <br></p><p>- la documentation technique, <br></p><p>- l’étude et le dossier technique, <br></p><p>- la norme de représentation en vigueur, <br></p><p>- le matériel de dessin (manuel ou numérique).</p><p><br></p><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p><br></p><p>Le schéma ou le plan permet la réalisation de l'ensemble ou du sous-ensemble. <br></p><p>Les normes de dessin technique sont respectées</p><br><p></p>",1,,,,0,null,,32,,
C1.1,C1.1-4,"C1.1-4 - Repérer, identifier la connectique  des schémas électriques et  électroniques","<p><b>CONDITIONS</b></p><p><br></p><p>- plans, <br></p><p>- schémas électriques, <br></p><p>- schémas électroniques, <br></p><p>- documentation technique. <br></p><p>- matériel à installer et/ou à raccorder.</p><p><br></p><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p><b></b><br></p><p></p><div data-canvas-width=""202.54719999999995"">Les éléments à raccorder, le type et la section des conducteurs sont identifiés.</div><br><p></p><p><br></p>",1,,,,0,null,,33,,
C1.1,C1.1-5,"C1.1-5 - Représenter à main levée, en perspective isométrique le croquis et les vues","<p></p><div data-canvas-width=""167.27439999999996""><i>Représenter à main levée, en perspective isométrique ainsi que les différentes vues, le croquis des éléments à fabriquer.</i><br><br></div><p></p><p><b>CONDITIONS</b></p><p><b><br></b></p><p>- une installation, <br></p><p>- des plans, <br></p><p>- l’étude et le dossier technique, <br></p><p>- le relevé de côtes.</p><p><br></p><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""222.05119999999997"">Le croquis est conforme et comporte toutes les informations (relevés de<br>côtes, positionnement de matériels, frigorifiques, électriques, hydrauliques, aérauliques, ...) nécessaires pour la fabrication, le raccordement d’un élément.</div><br><p></p>",1,,,,0,null,,34,,
C1,C1.2,"C1.2 - Communiquer avec les différents acteurs",,1,,,,0,null,,3,,
C1.2,C1.2-1,"C1.2-1 - Identifier les différents acteurs dans  l'entreprise ou sur le chantier","<p><b>CONDITIONS</b></p><p><b><br></b></p><p>Une situation professionnelle avec son contexte.</p><p><br></p><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p><br></p><p></p><div data-canvas-width=""59.082399999999986"">L'identification des différents acteurs et interlocuteurs potentiels est exacte. </div><br><p></p><p><br></p>",1,,,,0,null,,36,,
C1.2,C1.2-2,"C1.2-2 - Expliquer un fonctionnement, une  intervention","<p><b>CONDITIONS</b></p><p><b><br></b></p><p>- installation, <br></p><p>- notice d’utilisation, <br></p><p>- supports de communication (oral, manuscrit, numérique), <br></p><p>- documents techniques (plan ou schéma avec nomenclature).</p><p><br></p><p></p><p><b>CRITÈRES D’ÉVALUATION</b><br></p><p>Les informations orales transmises à l'interlocuteur sont claires et précises, dans un langage adapté.</p><div data-canvas-width=""99.3232"">Le vocabulaire technique est correct et adapté au champ professionnel de l'installation. </div><br><p></p><p><br></p>",1,,,,0,null,,37,,
C1,C1.3,"C1.3 - Rendre compte",,1,,,,0,null,,4,,
C1.3,C1.3-1,"C1.3-1 - Utiliser un outil de communication  adapté à la transmission d'une  information technique","<p><b>CONDITIONS</b></p><p><b><br></b></p><p></p><div data-canvas-width=""69.40479999999998"">- Une situation professionnelle avec son contexte.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p><b></b><br></p><p></p><div data-canvas-width=""51.9432"">Le choix de l'outil de communication est pertinent et correctement utilisé.</div><br><p></p><p><br></p>",1,,,,0,null,,35,,
C1.3,C1.3-2,"C1.3-2 - Informer ou restituer des  informations auprès des acteurs de  l'entreprise","<p><b>CONDITIONS</b></p><p><b><br></b></p><p></p><div data-canvas-width=""182.45439999999996"">- Des moyens de communication (oral, manuscrit, numérique).</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p><b></b><br></p><p>L’information est correctement restituée.</p><br><p></p><p><br></p>",1,,,,0,null,,38,,
,C2,"C2 - S'INFORMER , PREPARER",,1,,,,0,null,,5,,
C2,C2.1,"C2.1 - Collecter des informations",,1,,,,0,null,,6,,
C2.1,C2.1-1,"C2.1-1 - Collecter, identifier, trier, classer, ranger, conserver, les documents et  les information","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""133.56559999999996"">- mode opératoire,</div><div data-canvas-width=""184.60719999999995"">- dossiers et notices techniques du matériel,</div><div data-canvas-width=""204.71839999999997"">- documents constructeurs,</div><div data-canvas-width=""137.41119999999998"">- bons de livraison,</div><div data-canvas-width=""89.1664"">- documents de l'entreprise,</div><div data-canvas-width=""218.1135999999999"">- documents liés aux procédures règlementaires,</div><div data-canvas-width=""215.11440000000002"">- documents liés à la prévention et à la sécurité.<br><br></div><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p><br></p><p></p><div data-canvas-width=""178.57199999999997"">L’optimisation de la gestion complète et pertinente des documents permet  la réalisation de la tâche.</div><br><p></p>",1,,,,0,null,,39,,
C2.1,C2.1-2,"C2.1-2 - Classer les étapes  d’un mode opératoire","<p></p><p><b>CONDITIONS</b></p><p></p><div>- mode opératoire,</div><div>- dossiers et notices techniques du matériel,</div><div>- documents constructeurs,</div><div>- bons de livraison,</div><div>- documents de l'entreprise,</div><div>- documents liés aux procédures règlementaires,</div><div>- documents liés à la prévention et à la sécurité.<br><br></div><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p><b></b><br></p><p></p><p></p><div data-canvas-width=""115.4416"">Le classement des étapes d’un mode opératoire est chronologique.</div><br><p></p><p><br></p>",1,,,,0,null,,40,,
C2,C2.2,"C2.2 - Contrôler les éléments nécessaires à la réalisation",,1,,,,0,null,,7,,
