"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"/2016/09/Mathematics F-10","Mathematics F-10",,1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency,competency"
046168da-c106-4f60-807f-9e4600a2533d,014bbf8c-7100-4679-8711-9e4600a2533d,"Number and Algebra","<br/>Subject: M",1,,,,0,null,2a0c5178-0bdc-4cb6-be9f-9e4600a2533d,6371,,
4e0e6d6c-9971-4ddc-bef9-9e4600a25347,014de2da-3660-46a0-8e19-9e4600a2537f,Shape,"Shape<br/>Education Level: 4<br/>Subject: M",1,,,,0,null,7d97fb41-20a4-4f0a-a5f2-9e4600a25342,6816,,
27684df8-f90c-4219-9a1e-9e4600a25347,03848bec-bfda-4e4c-9b92-9e4600a25347,"Number and place value","Number and place value<br/>Education Level: 4<br/>Subject: M",1,,,,0,null,51dfdd78-3490-46f9-8927-9e4600a2533d,6849,,
,046168da-c106-4f60-807f-9e4600a2533d,"Foundation Year","The proficiency strands understanding, fluency, problem-solving and reasoning are an integral part of mathematics content across the three content strands: number and algebra, measurement and geometry, and statistics and probability. The proficiencies reinforce the significance of working mathematically within the content and describe how the content is explored or developed. They provide the language to build in the developmental aspects of the learning of mathematics. The achievement standards reflect the content and encompass the proficiencies.
At this year level:

understanding includes connecting names, numerals and quantities
fluency includes readily counting numbers in sequences, continuing patterns and comparing the lengths of objects
problem-solving includes using materials to model authentic problems, sorting objects, using familiar counting sequences to solve unfamiliar problems and discussing the reasonableness of the answer
reasoning includes explaining comparisons of quantities, creating patterns and explaining processes for indirect comparison of length.<br/>Subject: M",1,,,,0,null,,6352,,
5dae1d94-e688-4e15-8256-9e4600a25347,0485d5ca-4391-4e2a-bf53-9e4600a25355,"Statistics and Probability","<br/>Education Level: 5<br/>Subject: M",1,,,,0,null,1551fedc-debb-4b85-87db-9e4600a25350,6955,,
70ea669a-97ea-4db3-8087-9e4600a25342,0594bcf8-5dea-4134-80d0-9e4600a25347,Shape,"Shape<br/>Education Level: 3<br/>Subject: M",1,,,,0,null,7d97fb41-20a4-4f0a-a5f2-9e4600a25342,6750,,
bfcf043a-5dc0-45ff-ad3b-9e4600a25342,06ae4c53-6e23-48bd-85f8-9e4600a25355,"Statistics and Probability","<br/>Education Level: 3<br/>Subject: M",1,,,,0,null,1551fedc-debb-4b85-87db-9e4600a25350,6792,,
deea3dbb-1996-4b9d-b398-9e4600a25342,07657f65-7002-4c68-bc3f-9e4600a2534b,"Patterns and algebra","Patterns and algebra<br/>Education Level: 1<br/>Subject: M",1,,,,0,null,bd8995a2-2d04-4dc6-9692-9e4600a2534b,6522,,
8a710110-e2fd-4e69-bb96-9e4600a2535e,0862ae69-f9d2-4f4b-9fba-9e4600a2535e,"Number and Algebra","<br/>Education Level: 10<br/>Subject: M",1,,,,0,null,2a0c5178-0bdc-4cb6-be9f-9e4600a2533d,6552,,
0862ae69-f9d2-4f4b-9fba-9e4600a2535e,096b766a-2fd9-4862-827b-9e4600a25363,"Linear and non-linear relationships","Linear and non-linear relationships<br/>Education Level: 10<br/>Subject: M",1,,,,0,null,7e650fed-5606-4101-8c38-9e4600a25363,6553,,
