"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"/2016/09/Humanities and Social Sciences F-10","Humanities and Social Sciences F-10",,1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency,competency,competency,competency"
526193dc-81a4-47be-8819-9e4600a3168b,001ec364-0bcc-4bb7-b970-9e4600a316cc,"Analysis and use of sources","Analysis and use of sources<br/>Education Level: 8<br/>Subject: H",1,,,,0,null,ea84ce86-01d0-4fc4-a204-9e4600a3169e,9053,,
d99fe394-11f9-49f0-9672-9e4600a3169e,00558541-8f41-4663-9e91-9e4600a316c8,"Expanding contacts","Students investigate ONE of the following historical developments in depth to explore the interaction of societies in this period: the Mongol expansion or the Black Death in Africa, Asia and Europe or the Spanish conquest of the Aztecs and Incas.<br/>Education Level: 8<br/>Subject: H",1,,,,0,null,,9389,,
5766cb32-c374-4037-925c-ec0a5660c3e7,012575d7-e7bf-492a-ac44-d8094131dff3,"Economic reasoning, decision-making and application","Economic reasoning, decision-making and application<br/>Education Level: 10<br/>Subject: B",1,,,,0,null,64900405-2c54-4c9a-9c63-969c2d94bfae,8473,,
9a556677-c523-462c-8d46-9e4600a316da,0138787c-5627-457d-9634-9e4600a316da,"Migration experiences (1945 – present)","Migration experiences (1945 – present)<br/>Education Level: 10<br/>Subject: H",1,,,,0,null,,9232,,
a605660e-a73e-49a7-8f2d-9e4600a316d6,025aeb30-d562-4e3d-83b3-4685626ef79d,"Depth studies","There are three depth studies for this historical period. For each depth study, there are up to three electives that focus on a particular society, event, movement or development. It is expected that ONE elective will be studied in detail. The content in each depth study elective is designed to allow detailed study of specific aspects of this historical period. As part of a teaching and learning program, depth study content can be integrated with overview content and/or integrated with other depth study electives.<br/>Education Level: 10<br/>Subject: H",1,,,,0,null,,9197,,
d1696217-17c2-437b-81d0-860b03d82c7b,028775bc-3f59-4a37-8f39-352f467e69e3,Analysing,"Analysing<br/>Subject: U100",1,,,,0,null,29633362-388f-452b-a847-0af3d01813e1,9626,,
5a6d54bd-32d9-4a02-a20f-8c9a913af057,02ab3599-5000-41b4-84e2-73afd23f042c,Researching,"Researching<br/>Education Level: 4<br/>Subject: U100",1,,,,0,null,7cccd1a6-5ab1-45e2-9a8b-70098e35b4b8,10107,,
5af857c0-da73-44d1-b026-38ea0346d11a,030b50c4-9623-4e6d-b619-f0a4a7da93a8,"Government and democracy","Government and democracy<br/>Education Level: 10<br/>Subject: C",1,,,,0,null,"aa13913e-213d-4fad-b8d6-83741e2f3609,0a411e84-1315-462e-9e61-46c5c6d1e97a,a590d3c7-29bf-4241-b777-38cf5391e271,cf6246da-c380-4ec3-aeb5-e3a889edf7b6",8218,,
dd73e15a-8d05-4076-b04e-51f84347aa7b,033a2765-caf4-4057-9784-26071c8e2715,"Evaluating and reflecting","Evaluating and reflecting<br/>Education Level: 7<br/>Subject: U100",1,,,,0,null,"458701b7-597f-43a3-8901-b43f16c08d24,7ed8e899-a338-4270-a47c-12b858e74c64,62cc9997-4e85-4a8b-bccd-c49e9ae1a394,5a2f6c2b-ab3e-41b9-adde-89871ff18876,8975ed4c-30d3-4a5a-9541-a0b5b49432b2,6f4c09dd-7696-4711-acae-6ab779dcda30,5c89a089-1739-4a51-9741-821651bbc9db,a02320a0-c983-49b6-8376-79ab9af3f0d4",9705,,
a605660e-a73e-49a7-8f2d-9e4600a316d6,03c81ae2-cbf1-49a9-bb2f-9e4600a316d6,"Overview of the modern world and Australia","The following content is taught as part of an overview for the historical period. It is not intended to be taught in depth. Overview content identifies important features of the period (1918 to the present) as part of an expansive chronology that helps students understand broad patterns of historical change. As such, the overview provides the broader context for the teaching of depth study content and can be built into various parts of a teaching and learning program. This means that overview content can be used to give students an introduction to the historical period; to make the links to and between the depth studies, and to consolidate understanding through a review of the period. Overview content for the Modern World and Australia includes the following:<br/>Education Level: 10<br/>Subject: H",1,,,,0,null,,9198,,
a062f933-f317-4307-8b4c-e4404e568502,04496bf4-cca6-47fe-9cd6-a19d5869dfa7,Communicating,"Communicating<br/>Education Level: 8<br/>Subject: G",1,,,,0,null,b1995647-062c-4e1d-a96e-b31bdd34afe0,8747,,
4f41548f-e405-4b28-a6e6-9e4600a316d6,0451067b-d9c5-4b6e-9e39-9e4600a316d6,"Rights and freedoms (1945 – the present)","Rights and freedoms (1945 – the present)<br/>Education Level: 10<br/>Subject: H",1,,,,0,null,,9217,,
39db27bc-74df-4a32-90bb-29f0bdc41b8d,04df851c-0f92-4d48-b4a6-af32d3950aa8,Geography,"Geography<br/>Education Level: 2<br/>Subject: U100",1,,,,0,null,78e89829-4f8b-4bf2-aff0-779c87c9cb4e,9901,,
25020015-af59-4ffc-9bed-a1b700d33725,06b4be1b-8f17-480a-b057-add59c60ccea,"Interpreting, analysing and concluding","Interpreting, analysing and concluding<br/>Education Level: 7<br/>Subject: G",1,,,,0,null,362d9a42-1c66-4996-82ab-9542f27e53ef,8760,,
cc58a840-e488-4f4a-abaf-9e4600a316a2,095fb130-6585-465e-b9e2-9e4600a316a2,"Japan under the Shoguns’ (c.794 – 1867)","Japan under the Shoguns’ (c.794 – 1867)<br/>Education Level: 8<br/>Subject: H",1,,,,0,null,,9444,,
53fc75f5-f6ba-4e86-bf27-9bbfd5e263bc,0a411e84-1315-462e-9e61-46c5c6d1e97a,"Government and democracy","Government and democracy<br/>Education Level: 7<br/>Subject: C",1,,,,0,null,030b50c4-9623-4e6d-b619-f0a4a7da93a8,8357,,
6405a562-89a3-4cf9-b593-beef7ca2e8da,0a4ebbab-f2ed-4880-a6d7-0d2738b9390e,"Inquiry and skills","<br/>Education Level: 6<br/>Subject: U100",1,,,,0,null,dd73e15a-8d05-4076-b04e-51f84347aa7b,10328,,
ed48926e-6105-4ac9-a41b-46893ede7bbe,0b28646c-e706-4057-9dc4-6d9103b2aeba,History,"History<br/>Education Level: 5<br/>Subject: U100",1,,,,0,null,43c51f90-54bf-4bbd-94d7-aaa3676a53c5,10306,,
f2ecf4db-b576-47b8-87a5-bccb47be226a,0bd28098-628f-4851-a2d3-db008608b918,"Laws and citizens","Laws and citizens<br/>Education Level: 9<br/>Subject: C",1,,,,0,null,6fcecdd0-63ad-4ed5-b970-1466eb929c89,8457,,
c6a3803d-5eb3-4a49-a974-9e4600a31686,0c2551c1-23f1-4301-9886-9e4600a316da,"Chronology, terms and concepts","Chronology, terms and concepts<br/>Education Level: 10<br/>Subject: H",1,,,,0,null,cbe78afa-dffe-4e9d-a6c4-9e4600a316d6,9091,,
eee4339b-ffea-436a-ba6f-9aad83e71c53,0cd5b2fa-d282-42d7-bf94-a52a00c57799,"Achievement Standard","By the end of Year 1, students identify and describe important dates and changes in their own lives. They explain how some aspects of daily life have changed over recent time while others have remained the same.
Students sequence personal and family events in order, using everyday terms about the passing of time. They respond to questions about the past using sources provided. Students relate stories about life in the past, using a range of texts.<br/>Education Level: 1<br/>Subject: U100",1,,,,0,null,,9846,,
5c8d8a65-b458-4d7d-b4bc-74544442179a,0d12889a-f244-4d5f-ab47-176c7f61b6ce,"Civics and citizenship","Civics and citizenship<br/>Education Level: 7<br/>Subject: U100",1,,,,0,null,"99b0dd50-1210-4458-9c08-72bd6fb232bd,ffcb46b5-d1dc-4eff-8aeb-bd34b769a16d,272b2bd1-f7fb-4f8b-aed9-b94634168169,5cb70d7a-67bd-473a-9d0d-80944ac99636,15cb78a4-9847-4295-877f-c2d5c74b948d",9709,,
e592d005-dd82-4301-b4cd-9e6f9d4fdf50,0d384168-9313-40df-b50c-c8c0cbd4c1ca,"Communication and reflection","Communication and reflection<br/>Education Level: 8<br/>Subject: B",1,,,,0,null,f67af1b0-6000-4313-8e9d-4cea2a34e8dc,8610,,
58512189-bcad-4e97-94b0-9e4600a31686,0ec96991-e21b-4fdb-8b49-9e4600a31686,"Historical Knowledge and Understanding","<br/>Education Level: 7<br/>Subject: H",1,,,,0,null,1f26dc81-caed-4c05-825c-9e4600a31686,9287,,
4b6299fb-661a-4e9d-a292-949331d93519,102d7ed4-2297-44bc-8c78-fad833231252,"Achievement Standard","By the end of Year 7, students describe geographical processes that influence the characteristics of places and how the characteristics of places are perceived and valued differently. They explain interconnections between people and places and environments and describe how these interconnections change places and environments. They describe alternative strategies to a geographical challenge referring to environmental, economic and social factors.
Students identify geographically significant questions to frame an inquiry. They evaluate a range of primary and secondary sources to locate useful information and data. They record and represent data and the location and distribution of geographical phenomena in a range of forms, including large-scale and small-scale maps that conform to cartographic conventions. They interpret and analyse geographical maps, data and other information to propose simple explanations for spatial distributions, patterns, trends and relationships, and draw conclusions. Students present findings and arguments using relevant geographical terminology and digital technologies in a range of communication forms. They propose action in response to a geographical challenge, taking account of environmental, economic and social factors, and describe the expected effects of their proposal.<br/>Education Level: 7<br/>Subject: G",1,,,,0,null,,8892,,
89e2524b-ee5b-4cbb-9da2-830354544161,10333de2-552e-4194-8659-0e48e4f16c93,Questioning,"Questioning<br/>Education Level: 2<br/>Subject: U100",1,,,,0,null,4dbeb5a6-7b76-49a6-9164-2407ce0ca435,9880,,
25020015-af59-4ffc-9bed-a1b700d33725,1035de39-b6e5-4ef4-a184-c57b74f358a2,"Interpreting, analysing and concluding","Interpreting, analysing and concluding<br/>Education Level: 10<br/>Subject: G",1,,,,0,null,2cc27636-9e27-48d0-8aea-fc56177b46b5,8768,,
b065a177-8e9a-4053-aae3-9db352faa463,13e1364d-a82e-4e56-a144-6ad79bf541fa,"Unit 1: Water in the world","<br/>Education Level: 7<br/>Subject: U100",1,,,,0,null,,10582,,
00558541-8f41-4663-9e91-9e4600a316c8,148cd16c-e61f-49c8-b425-9e4600a316c8,"The Spanish conquest of the Americas (c.1492 – c.1572)","The Spanish conquest of the Americas (c.1492 – c.1572)<br/>Education Level: 8<br/>Subject: H",1,,,,0,null,,9412,,
4d40bf77-a0d3-4478-9845-b15bd0225ec5,14a648fd-5df0-428b-99c7-ef41f1c9a5f5,"Economics and Business Knowledge and Understanding","Economics and Business Knowledge and Understanding<br/>Education Level: 10<br/>Subject: B",1,,,,0,null,"b17ab848-7c27-4529-9679-9acf13f31e57,6901428d-385e-4098-8c86-31849291c083,8d5db608-6fe7-46ee-9911-87671fc10f7b,17977289-433e-46af-bc0c-e62e172986dc",8469,,
5b2bb33d-3960-4c7a-9ce1-aa95a4429acb,15cb78a4-9847-4295-877f-c2d5c74b948d,"Civics and citizenship","Civics and citizenship<br/>Education Level: 3<br/>Subject: U100",1,,,,0,null,0d12889a-f244-4d5f-ab47-176c7f61b6ce,10000,,
6405a562-89a3-4cf9-b593-beef7ca2e8da,15fe1820-6801-4b47-a38f-94a12d2e4aec,"Achievement Standard","By the end of Year 6, students explain the significance of an event/development, an individual and/or group. They identify and describe continuities and changes for different groups in the past and present. They describe the causes and effects of change on society. They compare the experiences of different people in the past. Students describe, compare and explain the diverse characteristics of different places in different locations from local to global scales. They describe how people, places, communities and environments are diverse and globally interconnected and identify the effects of these interconnections over time. Students explain the importance of people, institutions and processes to Australia&rsquo;s democracy and legal system. They describe the rights and responsibilities of Australian citizens and the obligations they may have as global citizens. Students recognise why choices about the allocation of resources involve trade-offs. They explain why it is important to be informed when making consumer and financial decisions. They identify the purpose of business and recognise the different ways that businesses choose to provide goods and services. They explain different views on how to respond to an issue or challenge.
Students develop appropriate questions to frame an investigation. They locate and collect useful data and information from primary and secondary sources. They examine sources to determine their origin and purpose and to identify different perspectives in the past and present. They interpret data to identify, describe and compare distributions, patterns and trends, and to infer relationships, and evaluate evidence to draw conclusions. Students sequence information about events, the lives of individuals and selected phenomena in chronological order and represent time by creating timelines. They organise and represent data in a range of formats, including large- and small-scale maps, using appropriate conventions. They collaboratively generate alternative responses to an issue, use criteria to make decisions and identify the advantages and disadvantages of preferring one decision over others. They reflect on their learning to propose action in response to an issue or challenge and describe the probable effects of their proposal. They present ideas, findings, viewpoints and conclusions in a range of communication forms that incorporate source materials, mapping, graphing, communication conventions and discipline-specific terms.<br/>Education Level: 6<br/>Subject: U100",1,,,,0,null,,10327,,
92efa936-0997-46d4-8d16-9e4600a31686,17842a4c-331f-465c-bf93-9e4600a316cc,"Historical questions and research","Historical questions and research<br/>Education Level: 8<br/>Subject: H",1,,,,0,null,ea84ce86-01d0-4fc4-a204-9e4600a3169e,9140,,
67cab193-0a93-46c2-9450-627bcd654f3c,17977289-433e-46af-bc0c-e62e172986dc,"Economics and Business Knowledge and Understanding","<br/>Education Level: 9<br/>Subject: B",1,,,,0,null,14a648fd-5df0-428b-99c7-ef41f1c9a5f5,8637,,
e143049d-298a-4689-b5fa-71e09de600f4,18c89331-1258-463e-90db-c741181c315a,"Achievement Standard","By the end of Foundation Year, students identify important events in their own lives and recognise why some places are special to people. They describe the features of familiar places and recognise that places can be represented on maps and models. They identify how they, their families and friends know about their past and commemorate events that are important to them.
      Students respond to questions about their own past and places they belong to. They sequence familiar events in order. They observe the familiar features of places and represent these features and their location on pictorial maps and models. They reflect on their learning to suggest ways they can care for a familiar place. Students relate stories about their past and share and compare observations about familiar places.<br/>Subject: U100",1,,,,0,null,,9624,,
89e2524b-ee5b-4cbb-9da2-830354544161,1920e2b0-4049-4399-ac88-af304a134c0e,Analysing,"Analysing<br/>Education Level: 2<br/>Subject: U100",1,,,,0,null,29633362-388f-452b-a847-0af3d01813e1,9850,,
80e57620-80c7-40ee-a6d9-a1b700d336c6,19614564-f192-4f91-a215-a1b700d3370d,"Collecting, recording, evaluating and representing","Collecting, recording, evaluating and representing<br/>Education Level: 10<br/>Subject: G",1,,,,0,null,,8697,,
fbd522fb-ade7-4258-8243-1ba42887af39,1a075619-900e-4a19-8160-070182247c1f,History,"History<br/>Education Level: 6<br/>Subject: U100",1,,,,0,null,43c51f90-54bf-4bbd-94d7-aaa3676a53c5,10447,,
4d40bf77-a0d3-4478-9845-b15bd0225ec5,1a1980b5-cd36-4c85-a129-28a97a860f6d,"Year 8","The Year 8 curriculum gives students the opportunity to further develop their understanding of economics and business concepts by exploring the ways markets &ndash; including traditional Aboriginal and Torres Strait Islander markets &ndash; work within Australia, the participants in the market system and the ways they may influence the market&rsquo;s operation. The rights, responsibilities and opportunities that arise for businesses, consumers and governments are considered along with the influences on the ways individuals work now and into the future. The emphasis in Year 8 is on national and regional issues, with opportunities for the concepts to also be considered in relation to local community or global issues where appropriate.
The economics and business content at this year level involves two strands: economics and business knowledge and understanding, and economics and business skills. These strands are interrelated and have been developed to be taught in an integrated way, and in ways that are appropriate to specific local contexts. The order and detail in which they are taught are programming decisions.
Students are expected to be taught the content through contemporary issues, events and/or case studies. Teachers will design programs that cover appropriate contexts and meet the needs of their students.
Key inquiry questions 
A framework for developing students&rsquo; economics and business knowledge, understanding and skills at this year level is provided by the following key questions:

Why are markets needed, and why are governments involved?
Why do consumers and businesses have both rights and responsibilities?
What may affect the ways people work now and in the future?
How do different businesses respond to opportunities in the market?<br/>Education Level: 8<br/>Subject: B",1,,,,0,null,,8581,,
60dd9b77-414c-4449-931d-371a2508cc69,1a657690-0ea8-4c67-8af2-b677fcbe236c,"Year 10","The Year 10 curriculum develops student understanding of Australia&rsquo;s system of government through comparison with another system of government in the Asian region. Students examine Australia&rsquo;s roles and responsibilities within the international context, such as its involvement with the United Nations. Students also study the purpose and work of the High Court. They investigate the values and practices that enable a democratic society to be sustained.
The civics and citizenship content at this year level involves two strands: civics and citizenship knowledge and understanding, and civics and citizenship skills. These strands are interrelated and have been developed to be taught in an integrated way, and in ways that are appropriate to specific local contexts. The order and detail in which they are taught are programming decisions.
Key inquiry questions 
A framework for developing students&rsquo; civics and citizenship knowledge, understanding and skills at this year level is provided by the following key questions:

How is Australia&rsquo;s democracy defined and shaped by the global context?
How are government policies shaped by Australia&rsquo;s international legal obligations?
What are the features of a resilient democracy?<br/>Education Level: 10<br/>Subject: C",1,,,,0,null,,8286,,
0a4ebbab-f2ed-4880-a6d7-0d2738b9390e,1aeac0f4-4036-4b9e-a8d8-ba1ed1798915,Analysing,"Analysing<br/>Education Level: 6<br/>Subject: U100",1,,,,0,null,29633362-388f-452b-a847-0af3d01813e1,10329,,
60dd9b77-414c-4449-931d-371a2508cc69,1b7bdba3-dc16-4d98-a523-1443a29aebbe,"Civics and Citizenship Skills","Civics and Citizenship Skills<br/>Education Level: 10<br/>Subject: C",1,,,,0,null,"55a4d498-747d-4744-bf4f-26e93755323d,df02729b-3d4a-431c-bc10-729f6371a34b,1ed0e1c0-6d3f-4569-b9b7-3de25fe286a5,93da7451-0634-47cf-aca8-6a48b2e0161a",8220,,
f7f68721-ccd1-44fb-bde0-9e4600a316cc,1b7cfe8b-3542-4c70-933f-9e4600a316cc,"Making a better world?","Students investigate how life changed in the period in depth through the study of ONE of these major developments: the Industrial Revolution or Progressive ideas and movements or&nbsp;Movement of peoples. The study includes the causes and effects of the development, and the Australian experience.<br/>Education Level: 9<br/>Subject: H",1,,,,0,null,,9552,,
1b7bdba3-dc16-4d98-a523-1443a29aebbe,1b930bac-f831-475c-87cd-d37bcb00f87d,"Questioning and research","Questioning and research<br/>Education Level: 10<br/>Subject: C",1,,,,0,null,80e6afb0-e4cd-4e00-b593-0145d2f00cda,8265,,
b08f9eeb-8dce-4044-bb00-f6c994a45a5e,1ba38531-3cb9-40c8-8d13-56ae6f9db583,"Knowledge and Understanding","<br/>Education Level: 4<br/>Subject: U100",1,,,,0,null,5c8d8a65-b458-4d7d-b4bc-74544442179a,10125,,
