"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,MN-2016-3v2,"MNPCC Grade 3 Science","<p>Minnesota Partnership for Collaborative Curriculum Grade 3 Science Competencies. <a href=""http://education.state.mn.us/MDE/dse/stds/sci/"" target=""_blank"">Click here for source document</a>.<br></p>",1,"Not satisfactory,Satisfactory,Outstanding","[{""scaleid"":""7""},{""id"":2,""scaledefault"":1,""proficient"":1},{""id"":3,""scaledefault"":0,""proficient"":1}]",,,,,,1,"domain,competency,behaviour,competency"
,3.1.1.0.0,"The Nature of Science and Engineering","<p>The Nature of Science and Engineering<br></p>",1,,,,0,null,,226,,
3.1.1.0.0,3.1.1.1.0,"The Practice of Science","<p>1. Scientists work as individuals and in groups; emphasizing evidence, open communication and skepticism.<br>2. Scientific inquiry is a set of interrelated processes incorporating multiple approaches that are used to pose questions about the natural world and investigate phenomena.<br></p>",1,,,,0,null,,227,,
3.1.1.1.0,3.1.1.1.1,"A (3.1.1.1.1)","<p>Provide evidence to support claims, other than saying “Everyone knows that,” or “I just know,” and question such reasons when given by others.<br></p>",1,,,,0,null,,228,,
3.1.1.1.0,3.1.1.2.1,"A (3.1.1.2.1)","<p>Generate questions that can be answered when scientific knowledge is combined with knowledge gained from one's own observations or investigations.&nbsp; For example: Investigate the sounds produced by striking various objects.<br></p>",1,,,,0,null,,229,,
3.1.1.1.0,3.1.1.2.2,"A (3.1.1.2.2)","<p>Recognize that when a science investigation is done the way it was done before, even in a different place, a similar result is expected. <br></p>",1,,,,0,null,,230,,
3.1.1.1.0,3.1.1.2.3,"A (3.1.1.2.3)","<p>Maintain a record of observations, procedures and explanations, being careful to distinguish between actual observations and ideas about what was observed.&nbsp; For example: Make a chart comparing observations about the structures of plants and animals.<br></p>",1,,,,0,null,,231,,
3.1.1.1.0,3.1.1.2.4,"A (3.1.1.2.4)","<p>Construct reasonable explanations based on evidence collected from observations or experiments.<br></p>",1,,,,0,null,,232,,
3.1.1.0.0,3.1.3.2.0,"Interactions Among Science, Engineering, Technology, and Society","2. Men and women throughout the history of all cultures, including Minnesota American Indian tribes and communities, have been involved in engineering design and scientific inquiry.<br>4. Tools and mathematics help scientists and engineers see more, measure more accurately, and do things that they could not otherwise accomplish.",1,,,,0,null,,233,,
3.1.3.2.0,3.1.3.2.1,"A (3.1.3.2.1)","Understand that everybody can use evidence to learn about the natural world, identify patterns in nature, and develop tools. For example: Ojibwe and Dakota knowledge and use of patterns in the stars to predict and plan.",1,,,,0,null,,234,,
3.1.3.2.0,3.1.3.2.2,"A (3.1.3.2.2)","<p>Recognize that the practice of science and/or engineering involves many different kinds of work and engages men and women of all ages and backgrounds.<br></p>",1,,,,0,null,,235,,
3.1.3.2.0,3.1.3.4.1,"A (3.1.3.4.1)","<p>Use tools, including rulers, thermometers, magnifiers and simple balance, to improve observations and keep a record of the observations made.<br></p>",1,,,,0,null,,236,,
,3.2.3.0.0,"Physical Science","<p>Physical Science<br></p>",1,,,,0,null,,237,,
3.2.3.0.0,3.2.3.1.0,Energy,"<p>1. Energy appears in different forms, including sound and light.<br></p>",1,,,,0,null,,238,,
3.2.3.1.0,3.2.3.1.1,"B (3.2.3.1.1)","<p>Explain the relationship between the pitch of a sound, the rate of vibration of the source, and factors that affect pitch.&nbsp; For example: Changing the length of a string that is plucked changes the pitch.<br></p>",1,,,,0,null,,239,,
3.2.3.1.0,3.2.3.1.2,"B (3.2.3.1.2)","<p>Explain how shadows form and can change in various ways.<br></p>",1,,,,0,null,,240,,
3.2.3.1.0,3.2.3.1.3,"B (3.2.3.1.3)","<p>Describe how light travels in a straight line until it is absorbed, redirected, reflected or allowed to pass through an object. For example: Use a flashlight, mirrors and water to demonstrate reflection and bending of light.<br></p>",1,,,,0,null,,241,,
,3.3.3.0.0,"Earth Science","<p>Earth Science<br></p>",1,,,,0,null,,242,,
3.3.3.0.0,3.3.3.1.0,"The Universe","<p>1. The sun and moon have locations and movements that can be observed and described. <br></p><p>2. Objects in the solar system as seen from Earth have various sizes and distinctive patterns of motion.<br></p>",1,,,,0,null,,243,,
3.3.3.1.0,3.3.3.1.1,"C (3.3.3.1.1)","<p>Observe and describe the daily and seasonal changes in the position of the sun and compare observations.<br></p>",1,,,,0,null,,244,,
3.3.3.1.0,3.3.3.1.2,"C (3.3.3.1.2)","<p>Recognize the pattern of apparent changes in the moon's shape and position.<br></p>",1,,,,0,null,,245,,
3.3.3.1.0,3.3.3.2.1,"C (3.3.3.2.1)","<p>Demonstrate how a large light source at a great distance looks like a small light that is much closer. For example: Car headlights at a distance look small compared to when they are close.<br></p>",1,,,,0,null,,246,,
3.3.3.1.0,3.3.3.2.2,"C (3.3.3.2.2)","<p>Recognize that the Earth is one of several planets that orbit the sun, and that the moon orbits the Earth.<br></p>",1,,,,0,null,,247,,
,3.4.1.0.0,"Life Science","<p>Life Science<br></p>",1,,,,0,null,,248,,
3.4.1.0.0,3.4.1.1.0,"Structure and Function of Living Systems","<p>1. Living things are diverse with many different characteristics that enable them to grow, reproduce and survive.<br></p>",1,,,,0,null,,249,,
3.4.1.1.0,3.4.1.1.1,"D (3.4.1.1.1)","<p>Compare&nbsp; how the different structures of plants and animals serve various functions of growth, survival and reproduction.&nbsp; For example: Skeletons in animals and stems in plants provide strength and stability.<br></p>",1,,,,0,null,,250,,
3.4.1.1.0,3.4.1.1.2,"D (3.4.1.1.2)","<p>Identify common groups of plants and animals using observable physical characteristics, structures and behaviors. For example: Sort animals into groups such as mammals and amphibians based on physical characteristics.&nbsp; Another example: Sort and identify common Minnesota trees based on leaf/needle characteristics.<br></p>",1,,,,0,null,,251,,
3.4.1.0.0,3.4.3.2.0,"Evolution in Living Systems","<p>2. Offspring are generally similar to their parents, but may have variations that can be advantageous or disadvantageous in a particular environment.<br></p>",1,,,,0,null,,252,,
3.4.3.2.0,3.4.3.2.1,"D (3.4.3.2.1)","<p>Give examples of likenesses between adults and offspring in plants and animals that can be inherited or acquired.&nbsp; For example:Collect samples or pictures that show similarities between adults and their young offspring.<br></p>",1,,,,0,null,,253,,
