"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,"/2016/09/Technologies F-10","Technologies F-10",,1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":2,""scaledefault"":1,""proficient"":1}]",,,,,,1,"competency,competency,competency,competency,competency"
5434500a-f9e8-4239-b646-bdf27d0f5175,0143cf3b-d425-4da3-87ac-9166cc223c04,"Years 3 and 4","Learning in Digital Technologies focuses on further developing understanding and skills in computational thinking, such as categorising and outlining procedures; and developing an increasing awareness of how digital systems are used and could be used at home, in school and the local community.
      By the end of Year 4, students will have had opportunities to create a range of digital solutions, such as interactive adventures that involve user choice, modelling simplified real world systems and simple guessing games.
      In Year 3 and 4, students explore digital systems in terms of their components, and peripheral devices such as digital microscopes, cameras and interactive whiteboards. They collect, manipulate and interpret data, developing an understanding of the characteristics of data and their representation. 
      Using the concept of abstraction, students define simple problems using techniques such as summarising facts to deduce conclusions. They record simple solutions to problems through text and diagrams and develop their designing skills from initially following prepared algorithms to describing their own that support branching (choice of options) and user input. Their solutions are implemented using appropriate software including visual programming languages that use graphical elements rather than text instructions. They explain, in general terms, how their solutions meet specific needs and consider how society may use digital systems to meet needs in environmentally sustainable ways.
      With teacher guidance, students identify and list the major steps needed to complete a task or project. When sharing ideas and communicating in online environments they develop an understanding of why it is important to consider the feelings of their audiences and apply safe practices and social protocols agreed by the class that demonstrate respectful behaviour.<br/>Education Level: 4<br/>Subject: I",1,,,,0,null,,12577,,
2099ac23-284d-426b-9839-41eb219d4433,040eb337-e8e2-41d9-9fba-4e108620e995,"Years 9 and 10 Achievement Standard","By the end of Year 10, students explain the control and management of networked digital systems and the security implications of the interaction between hardware, software and users. They explain simple data compression, and why content data are separated from presentation.
Students plan and manage digital projects using an iterative approach. They define and decompose complex problems in terms of functional and non-functional requirements.&nbsp;Students design and evaluate user experiences and algorithms. They design and implement modular programs, including an object-oriented program, using algorithms and data structures involving modular functions that reflect the relationships of real-world data and data entities. They take account of privacy and security requirements when selecting and validating data. Students test and predict results and implement digital solutions. They evaluate information systems and their solutions in terms of risk, sustainability and potential for innovation and enterprise. They share and collaborate online, establishing protocols for the use, transmission and maintenance of data and projects.<br/>Education Level: 10<br/>Subject: I",1,,,,0,null,,12813,,
0143cf3b-d425-4da3-87ac-9166cc223c04,07fe87ca-5407-48f7-9bfd-87fca1cf5d37,"Years 3 and 4 Achievement Standard","By the end of Year 4, students describe how a range of digital systems (hardware and software) and their peripheral devices can be used for different purposes. They explain how the same data sets can be represented in different ways.
Students define simple problems, design and implement digital solutions using algorithms that involve decision-making and user input. They explain how the solutions meet their purposes. They collect and manipulate different data when creating information and digital solutions. They safely use and manage information systems for identified needs using agreed protocols and describe how information systems are used.<br/>Education Level: 4<br/>Subject: I",1,,,,0,null,,12621,,
8e38e7e4-cfe4-4788-8773-2ec484acbb25,180e9771-f4e6-4153-9a91-75d144cc424e,"Design and Technologies Processes and Production Skills","<br/>Education Level: 6<br/>Subject: D",1,,,,0,null,7fa74b6b-45af-481b-ab1f-b45b96a56933,12358,,
5434500a-f9e8-4239-b646-bdf27d0f5175,2099ac23-284d-426b-9839-41eb219d4433,"Years 9 and 10","Learning in Digital Technologies focuses on further developing understanding and skills in computational thinking such as precisely and accurately describing problems and the use of modular approaches to solutions. It also focuses on engaging students with specialised learning in preparation for vocational training or learning in the senior secondary years.
By the end of Year 10, students will have had opportunities to analyse problems and design, implement and evaluate a range of digital solutions, such as database-driven websites and artificial intelligence engines and simulations.
In Year 9 and 10, students consider how human interaction with networked systems introduces complexities surrounding access to, and the security and privacy of, data of various types. They interrogate security practices and techniques used to compress data, and learn about the importance of separating content, presentation and behavioural elements for data integrity and maintenance purposes.
Students explore how bias can impact the results and value of data collection methods and they use structured data to analyse, visualise, model and evaluate objects and events.
They learn how to develop multilevel abstractions, identify standard elements such as searching and sorting in algorithms, and explore the trade-offs between the simplicity of a model and the faithfulness of its representation.
When defining problems students consider the functional and non-functional requirements of a solution through interacting with clients and regularly reviewing processes. They consolidate their algorithmic design skills to incorporate testing and review, and further develop their understanding of the user experience to incorporate a wider variety of user needs. Students develop modular solutions to complex problems using an object-oriented programming language where appropriate, and evaluate their solutions and existing information systems based on a broad set of criteria including connections to existing policies and their enterprise potential. They consider the privacy and security implications of how data are used and controlled, and suggest how policies and practices can be improved to ensure the sustainability and safety of information systems.
Students progressively become more skilled at identifying the steps involved in planning solutions and developing detailed plans that are mindful of risks and sustainability requirements. When creating solutions, both individually and collaboratively, students comply with legal obligations, particularly with respect to the ownership of information, and when creating interactive solutions for sharing in online environments.<br/>Education Level: 10<br/>Subject: I",1,,,,0,null,,12745,,
5434500a-f9e8-4239-b646-bdf27d0f5175,213ee6d9-640e-41e0-8aef-683199c1438a,"Years 5 and 6","Learning in Digital Technologies focuses on further developing understanding and skills in computational thinking such as identifying similarities in different problems and describing smaller components of complex systems.  It also focuses on the sustainability of information systems for current and future uses.
      By the end of Year 6, students will have had opportunities to create a range of digital solutions, such as games or quizzes and interactive stories and animations.
      In Year 5 and 6, students develop an understanding of the role individual components of digital systems play in the processing and representation of data. They acquire, validate, interpret, track and manage various types of data and are introduced to the concept of data states in digital systems and how data are transferred between systems. 
      They learn to further develop abstractions by identifying common elements across similar problems and systems and develop an understanding of the relationship between models and the real-world systems they represent. 
      When creating solutions, students define problems clearly by identifying appropriate data and requirements. When designing, they consider how users will interact with the solutions, and check and validate their designs to increase the likelihood of creating working solutions. Students increase the sophistication of their algorithms by identifying repetition and incorporate repeat instructions or structures when implementing their solutions through visual programming, such as reading user input until an answer is guessed correctly in a quiz. They evaluate their solutions and examine the sustainability of their own and existing information systems.
      Students progress from managing the creation of their own ideas and information for sharing to working collaboratively. In doing so, they learn to negotiate and develop plans to complete tasks. When engaging with others, they take personal and physical safety into account, applying social and ethical protocols that acknowledge factors such as social differences and privacy of personal information. They also develop their skills in applying technical protocols such as devising file naming conventions that are meaningful and determining safe storage locations to protect data and information.<br/>Education Level: 6<br/>Subject: I",1,,,,0,null,,12622,,
213ee6d9-640e-41e0-8aef-683199c1438a,2301139b-c9b5-48de-9004-5b96c5e0f495,"Years 5 and 6 Achievement Standard","By the end of Year 6, students explain the fundamentals of digital system components (hardware, software and networks) and how digital systems are connected to form networks. They explain how digital systems use whole numbers as a basis for representing a variety of data types.
Students define problems in terms of data and functional requirements and design solutions by developing algorithms to address the problems. They incorporate decision-making, repetition and user interface design into their designs and implement their digital solutions, including a visual program. They explain how information systems and their solutions meet needs and consider sustainability. Students manage the creation and communication of ideas and information in collaborative digital projects using validated data and agreed protocols.<br/>Education Level: 6<br/>Subject: I",1,,,,0,null,,12682,,
,281f1795-9561-49f9-b56e-0d61545011e3,"Design and Technologies","<br/>Education Level: 10<br/>Subject: D",1,,,,0,null,,12207,,
f6d822e2-d8c0-4422-9e83-80052b77b3e9,282e3634-36b1-4112-b1e7-c6084605a684,"Design and Technologies Processes and Production Skills","<br/>Education Level: 4<br/>Subject: D",1,,,,0,null,7fa74b6b-45af-481b-ab1f-b45b96a56933,12295,,
